,name,address,location,amentities,price,rating,no of reviews,city,Check_in_date,Check_out_date
0,The Dunes Continental,"SRM Road (South End), Lissie Junction, Ernakulam, Kerala, 682035, India","9.2 km to city centre
21 km to Cochin International Airport (COK)",Free parkingRestaurantInternet access,"Rs2,600",,,Kochi,12/02/2021,14/02/2021
1,Kochi Marriott Hotel,"Lulu International Shopping Mall, 34/1111 N.H. 47, Ernakulam, Kerala, 682024, India","14 km to city centre
17 km to Cochin International Airport (COK)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs9,798",,,Kochi,12/02/2021,14/02/2021
2,Crowne Plaza Kochi,"XI/641A Kundanoor Junction, NH-47 Bypass, Maradu, Ernakulam, Kerala, 682 304, India","6.0 km to city centre
26 km to Cochin International Airport (COK)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs8,053",,,Kochi,12/02/2021,14/02/2021
3,Crowne Plaza Kochi,"XI/641A Kundanoor Junction, NH-47 Bypass, Maradu, Ernakulam, Kerala, 682 304, India","6.0 km to city centre
26 km to Cochin International Airport (COK)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs8,053",,,Kochi,12/02/2021,14/02/2021
4,The Gateway Hotel Marine Drive Ernakulam,"Marine Drive Ernakulam, Ernakulam, Kerala, 682011, India","7.3 km to city centre
23 km to Cochin International Airport (COK)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs5,800",,,Kochi,12/02/2021,14/02/2021
5,Diana Heights,"Near Athani, Cochin Intl. Airport, Alwaye, Kerala, 683585, India","29 km to city centre
4.0 km to Cochin International Airport (COK)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs5,421",,,Kochi,12/02/2021,14/02/2021
6,Diana Heights,"Near Athani, Cochin Intl. Airport, Alwaye, Kerala, 683585, India","29 km to city centre
4.0 km to Cochin International Airport (COK)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs5,421",,,Kochi,12/02/2021,14/02/2021
7,Le Meridien Kochi,"Maradu, Ernakulam, Kerala, 682304, India","6.0 km to city centre
26 km to Cochin International Airport (COK)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs6,848",,,Kochi,12/02/2021,14/02/2021
8,"Port Muziris, a Tribute Portfolio Hotel, Kochi","VIP Rd. Opp. Kochi Intl. Airport, Nedumbassery, Vappalassery, Alwaye, Kerala, 683572, India","30 km to city centre
1.1 km to Cochin International Airport (COK)",PoolFree parkingGymRestaurantBarConnecting rooms available,"Rs6,100",,,Kochi,12/02/2021,14/02/2021
9,Novotel Kochi Infopark,"Kakkanad, Kakkanad, Kerala, 682030, India","16 km to city centre
16 km to Cochin International Airport (COK)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs4,800",,,Kochi,12/02/2021,14/02/2021
10,"Trident, Cochin","Bristow Road Willingdon Island, Kochi, Kerala, 682003, India","5.4 km to city centre
25 km to Cochin International Airport (COK)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs6,750",,,Kochi,12/02/2021,14/02/2021
11,OYO 16623 Kubeira Homestay,"1,Vypin - Pallipuram Road, Cherai, North Paravur, North Paravur, Kerala, 683514, India","27 km to city centre
22 km to Cochin International Airport (COK)",Bathtub,"Rs3,581",,,Kochi,12/02/2021,14/02/2021
12,Radisson Blu Kochi,"S.A Road, Elamkulam Junction, Kadavanthra, Ernakulam, Kerala, 682 020, India","7.5 km to city centre
23 km to Cochin International Airport (COK)",PoolAirport transferSpaGymRestaurantBar,"Rs5,768",,,Kochi,12/02/2021,14/02/2021
13,Kent Baywatch Suites,"Kozhikudu Jn., Edakochi, Kochi, Kerala, 682010, India","3.1 km to city centre
30 km to Cochin International Airport (COK)",PoolFree parkingSpaGymRestaurant,"Rs6,000",,,Kochi,12/02/2021,14/02/2021
14,Kent Baywatch Suites,"Kozhikudu Jn., Edakochi, Kochi, Kerala, 682010, India","3.1 km to city centre
30 km to Cochin International Airport (COK)",PoolFree parkingSpaGymRestaurant,"Rs6,000",,,Kochi,12/02/2021,14/02/2021
15,Ramada Resort by Wyndham Kochi,"Pv Sreedharan Road, Kumbalam South, Ernakulam, Kerala, 682506, India","5.8 km to city centre
31 km to Cochin International Airport (COK)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs6,375",,,Kochi,12/02/2021,14/02/2021
16,Grand Hyatt Kochi Bolgatty,"Bolgatty Island, Ernakulam, Kerala, 682504, India","8.5 km to city centre
23 km to Cochin International Airport (COK)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs18,700",,,Kochi,12/02/2021,14/02/2021
17,GINGER HOUSE MUSEUM HOTEL,"JEW TOWN ROAD, KOCHI, Mattancherry, Kochi, Kerala, 682002, India","5.2 km to city centre
26 km to Cochin International Airport (COK)",PoolFree parkingRestaurant,"Rs37,000",,,Kochi,12/02/2021,14/02/2021
18,ibis Kochi City Centre Hotel,"Padma Junction, MG Road, Ernakulam, Kerala, 682035, India","8.0 km to city centre
23 km to Cochin International Airport (COK)",Free parkingAirport transferRestaurant,"Rs4,000",,,Kochi,12/02/2021,14/02/2021
19,Thulasi Inn,"Ground, 61/3044A, Thulasi KSN Menon Rd., Ernakulam, 682016, India","6.8 km to city centre
23 km to Cochin International Airport (COK)",Free parking,"Rs3,024",,,Kochi,12/02/2021,14/02/2021
20,Monsoon Empress,"NH Bypass, palarivattom, Kochi, Building No. 43 3074 C, Ernakulam, Kerala, 682025, India","11 km to city centre
19 km to Cochin International Airport (COK)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs6,750",,,Kochi,12/02/2021,14/02/2021
21,Grand Hotel,"M.G. Road, Ernakulam, Ernakulam, Kerala, 682011, India","6.9 km to city centre
23 km to Cochin International Airport (COK)",Free parkingAirport transferRestaurantBarInternet accessMeeting Facilities,"Rs4,680",,,Kochi,12/02/2021,14/02/2021
