,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,"Pride Plaza Hotel, Ahmedabad","Judges Bungalow Road, Off S.G. Road, Ahmedabad, Gujarat, 380054, India","5.6 km to city centre
11 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",PoolFree parkingAirport transferGymRestaurantBathtub,"Rs16,721",Good 6.8,Ahmedabad,24/02/2021,02/03/2021
1,Four Points by Sheraton Ahmedabad,"Opposite Gujarat College, Ellis Bridge, Ahmedabad, Gujarat, 380006, India","0.7 km to city centre
8.0 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingAirport transferGymRestaurantConnecting rooms available,"Rs14,490",Very good 8.4,Ahmedabad,24/02/2021,02/03/2021
2,Renaissance Ahmedabad SG Highway,"Sola Road, Sarkhej Gandhinagar Highway, Behind Ganesh Meridian Complex, Ahmedabad, Gujarat, 380060, India","7.4 km to city centre
9.6 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs26,000",Superb 9.2,Ahmedabad,24/02/2021,02/03/2021
3,Renaissance Ahmedabad SG Highway,"Sola Road, Sarkhej Gandhinagar Highway, Behind Ganesh Meridian Complex, Ahmedabad, Gujarat, 380060, India","7.4 km to city centre
9.6 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs26,000",Superb 9.2,Ahmedabad,24/02/2021,02/03/2021
4,Hotel The S G,"1st fl. Norman 2002, Nr. RC. Tech. Institute, Chankyapuri Rd., Ahmedabad, Gujarat, 380060, India","8.0 km to city centre
9.3 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parking,"Rs7,194",,Ahmedabad,24/02/2021,02/03/2021
5,Hotel Riverfront,"Bhagatachyarya road, Opposite Museum, Nr. NID, Paldi, Ahmedabad, Gujarat, 380007, India","1.1 km to city centre
8.5 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Restaurant,"Rs7,680",,Ahmedabad,24/02/2021,02/03/2021
6,Hotel Riverfront,"Bhagatachyarya road, Opposite Museum, Nr. NID, Paldi, Ahmedabad, Gujarat, 380007, India","1.1 km to city centre
8.5 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Restaurant,"Rs7,680",,Ahmedabad,24/02/2021,02/03/2021
7,Ginger Sanand,"Plot No. 83 84 Survey no. 196/1 Mahalax, Village Iyava, Virmagam Highway, Sanand, Gujarat, 380210, India","27 km to city centre
32 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingGym,"Rs13,195",,Ahmedabad,24/02/2021,02/03/2021
8,The Cloud Hotel,"Near Khokhra Circle, Maninagar(E), Ahmedabad, Gujarat, 380008, India","5.2 km to city centre
7.6 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingAirport transferGymRestaurantInternet accessConnecting rooms available,"Rs19,872",Very good 8.0,Ahmedabad,24/02/2021,02/03/2021
9,OYO 2591 Hotel Anjani Palace,"Ganesh Plaza Cmplx, 3rd Flr, Nr City Point Rest., Ajit Mill Cross Rd, Ahmedabad, Gujarat, 380023, India","6.2 km to city centre
5.9 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingBathtub,"Rs17,919",,Ahmedabad,24/02/2021,02/03/2021
10,Hyatt Ahmedabad,"Near Vastrapur Lake, Vastrapur, Ahmedabad, Gujarat, 380015, India","4.6 km to city centre
9.9 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs24,608",Fabulous 8.8,Ahmedabad,24/02/2021,02/03/2021
