,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,"Pride Plaza Hotel, Ahmedabad","Judges Bungalow Road, Off S.G. Road, Ahmedabad, Gujarat, 380054, India","5.6 km to city centre
11 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",PoolFree parkingAirport transferGymRestaurantBathtub,"Rs5,292",Good 6.8,Ahmedabad,23/02/2021,25/02/2021
1,Hyatt Ahmedabad,"Near Vastrapur Lake, Vastrapur, Ahmedabad, Gujarat, 380015, India","4.6 km to city centre
9.9 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs8,203",Fabulous 8.8,Ahmedabad,23/02/2021,25/02/2021
2,Mangalbag Gallery and Residency,"Opp. World Business House, Near Parimal Garden, Ellis Bridge, Ahmedabad, 380006, India","1.3 km to city centre
8.5 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingAirport transfer,"Rs8,190",,Ahmedabad,23/02/2021,25/02/2021
3,Mangalbag Gallery and Residency,"Opp. World Business House, Near Parimal Garden, Ellis Bridge, Ahmedabad, 380006, India","1.3 km to city centre
8.5 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingAirport transfer,"Rs8,190",,Ahmedabad,23/02/2021,25/02/2021
4,WelcomHeritage Mani Mansion,"Behind Mehdi Nawaz Jung Hall, Shantikunj Society, Paldi Cross Roads, Ahmedabad, Ahmedabad, 380006, India","1.0 km to city centre
8.5 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",PoolFree parkingRestaurant,"Rs5,760",Very good 8.0,Ahmedabad,23/02/2021,25/02/2021
5,The Cloud Hotel,"Near Khokhra Circle, Maninagar(E), Ahmedabad, Gujarat, 380008, India","5.2 km to city centre
7.6 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingAirport transferGymRestaurantInternet accessConnecting rooms available,"Rs4,439",Very good 8.0,Ahmedabad,23/02/2021,25/02/2021
6,The Cloud Hotel,"Near Khokhra Circle, Maninagar(E), Ahmedabad, Gujarat, 380008, India","5.2 km to city centre
7.6 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingAirport transferGymRestaurantInternet accessConnecting rooms available,"Rs4,439",Very good 8.0,Ahmedabad,23/02/2021,25/02/2021
7,CENTRA HOTEL,"Khanpur, Opposite Cama Hotel, Ahmedabad, 380001, India","1.3 km to city centre
6.2 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingAirport transferRestaurantInternet access,"Rs4,286",,Ahmedabad,23/02/2021,25/02/2021
8,Hotel The S G,"1st fl. Norman 2002, Nr. RC. Tech. Institute, Chankyapuri Rd., Ahmedabad, Gujarat, 380060, India","8.0 km to city centre
9.3 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parking,"Rs2,398",,Ahmedabad,23/02/2021,25/02/2021
9,Hotel Skyland,"Shop-Block-H-4th/F-402, Naiya Paradise, Opp. RAF Camp, S.P. Ring Road, Vastral, Ahmedabad, Gujarat, 382418, India","10 km to city centre
9.7 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parking,"Rs1,798",,Ahmedabad,23/02/2021,25/02/2021
10,Hotel Skyland,"Shop-Block-H-4th/F-402, Naiya Paradise, Opp. RAF Camp, S.P. Ring Road, Vastral, Ahmedabad, Gujarat, 382418, India","10 km to city centre
9.7 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parking,"Rs1,798",,Ahmedabad,23/02/2021,25/02/2021
11,Aarohi Starz Club,"Sanand Kadi Road, Aarohi Greens, Near, Adi Finechem, Chekhla, Sanand, Sanand, Gujarat, 380059, India","22 km to city centre
27 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingAirport transferRestaurantInternet access,"Rs8,571",,Ahmedabad,23/02/2021,25/02/2021
12,Fortune Landmark-Member ITC Hotel Group,"Ashram Road, Ahmedabad, Gujarat, 380013, India","2.8 km to city centre
5.8 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingAirport transferGymRestaurantBathtubInternet access,"Rs6,864",Fabulous 8.6,Ahmedabad,23/02/2021,25/02/2021
13,Hotel Riverfront,"Bhagatachyarya road, Opposite Museum, Nr. NID, Paldi, Ahmedabad, Gujarat, 380007, India","1.1 km to city centre
8.5 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Restaurant,"Rs2,560",,Ahmedabad,23/02/2021,25/02/2021
14,Rivera Sarovar Portico - Ahmedabad,"Bhavans College Road,, Sabarmati Riverfront,, Ahmedabad, Gujarat, 380001, India","1.5 km to city centre
6.0 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingAirport transferGymRestaurantInternet accessMeeting Facilities,"Rs3,798",Very good 8.2,Ahmedabad,23/02/2021,25/02/2021
15,Wyndham Ahmedabad Shela,"Club O7 Road, Off, Sardar Patel Ring Rd, Shela, Sanand, GJ, 380058, India","12 km to city centre
19 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",PoolFree parkingAirport transferSpaRestaurant,"Rs6,298",,Ahmedabad,23/02/2021,25/02/2021
16,Ramada by Wyndham Ahmedabad,"Corporate Road Opposite Prahla, Ahmedabad Polytechnic, Ahmedabad, Gujarat, 380015, India","6.7 km to city centre
14 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",GymRestaurant,"Rs5,128",Good 7.2,Ahmedabad,23/02/2021,25/02/2021
17,Hotel Sparsh Inn - Chandkheda,"5th Floor, Sparsh Arcade, near Bagga Hyundai showroom, chandkheda, Ahmedabad, Gujarat, 382424, India","12 km to city centre
7.0 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingRestaurant,"Rs2,338",,Ahmedabad,23/02/2021,25/02/2021
18,Hotel Swell,"Drive In Rd, Vijay Char Rasta, Navrangpura, Ahmedabad, Gujarat, 380014, India","3.0 km to city centre
7.9 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parking,"Rs2,700",,Ahmedabad,23/02/2021,25/02/2021
19,Hotel Swell,"Drive In Rd, Vijay Char Rasta, Navrangpura, Ahmedabad, Gujarat, 380014, India","3.0 km to city centre
7.9 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parking,"Rs2,700",,Ahmedabad,23/02/2021,25/02/2021
20,Ginger Sanand,"Plot No. 83 84 Survey no. 196/1 Mahalax, Village Iyava, Virmagam Highway, Sanand, Gujarat, 380210, India","27 km to city centre
32 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parkingGym,"Rs5,398",,Ahmedabad,23/02/2021,25/02/2021
21,Courtyard By Marriott Ahmedabad Sindhu Bhavan Road,"Sindhu Bhavan Road, Bodakdev, Ahmedabad, Gujarat, 380054, India","7.1 km to city centre
12 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",PoolFree parkingSpaGymRestaurantInternet access,"Rs7,000",Exceptional 10.0,Ahmedabad,23/02/2021,25/02/2021
22,Hotel Privilege Villa,"2nd Floor Safal Elegance Iscon Platinum, Bopal Cross Road, Sardar Patel Ring Rd., Ahmedabad, Gujarat, 380058, India","9.7 km to city centre
15 km to Ahmedabad (AMD-Sardar Vallabhbhai Patel Intl.)",Free parking,"Rs2,498",Exceptional 10.0,Ahmedabad,23/02/2021,25/02/2021
