,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,ibis Bengaluru City Centre Hotel,"Opp. Kanteerava Stadium/Mallya Hospital, Raja Ram Mohan Roy Road, Bengaluru, Karnataka, 560027, India","0.6 km to Bengaluru, Karnataka, India
5.0 km to Bengaluru",Free parkingAirport transferGym,"Rs3,899",Very good 8.2,Banglore,23/02/2021,25/02/2021
1,Oakwood Premier Prestige Bangalore,"Vittal Mallya Road, UB City, Bengaluru, Karnataka, 56000, India","0.1 km to Bengaluru, Karnataka, India
4.9 km to Bengaluru",PoolAirport transferSpaGym,"Rs8,820",Fabulous 8.6,Banglore,23/02/2021,25/02/2021
2,Stylotel By Jagadish – Brigade Road,"No 124, Brigade road, Opposite, Brigade towers Near Vellara Junction, Bengaluru, Karnataka, 560050, India","1.4 km to Bengaluru, Karnataka, India
6.3 km to Bengaluru",Air Conditioning,"Rs4,477",Good 6.0,Banglore,23/02/2021,25/02/2021
3,"ITC Gardenia, a Luxury Collection Hotel, Bengaluru","No.1, Residency Road, Bengaluru, Karnataka, 560001, India","0.1 km to Bengaluru, Karnataka, India
5.0 km to Bengaluru",PoolFree parkingAirport transferSpaGym,"Rs9,510",Superb 9.0,Banglore,23/02/2021,25/02/2021
4,Vivanta Bengaluru Residency Road,"No, 66, Residency Road, Bengaluru, Karnataka, 560025, India","1.5 km to Bengaluru, Karnataka, India
6.2 km to Bengaluru",PoolAirport transferSpaGym,"Rs6,700",Fabulous 8.6,Banglore,23/02/2021,25/02/2021
5,Vivanta Bengaluru Residency Road,"No, 66, Residency Road, Bengaluru, Karnataka, 560025, India","1.5 km to Bengaluru, Karnataka, India
6.2 km to Bengaluru",PoolAirport transferSpaGym,"Rs6,700",Fabulous 8.6,Banglore,23/02/2021,25/02/2021
6,OYO 29620 New Champion Residency,"100,No 390, Old Madras Rd, Ild Extension, 4Th Main Rd, Kr Puram, Bengaluru, 560036, India","12 km to Bengaluru, Karnataka, India
16 km to Bengaluru",Free parkingBathtub,"Rs2,871",,Banglore,23/02/2021,25/02/2021
7,Radisson Blu Atria Bengaluru,"No. 1 Palace Road, Bengaluru, Karnataka, 560 001, India","1.4 km to Bengaluru, Karnataka, India
3.6 km to Bengaluru",PoolFree parkingSpaGym,"Rs7,783",Very good 8.4,Banglore,23/02/2021,25/02/2021
8,The Chancery Pavilion,"135 Residency Road, Bengaluru, Karnataka, 560025, India","0.7 km to Bengaluru, Karnataka, India
5.6 km to Bengaluru",PoolFree parkingAirport transferSpaGym,"Rs4,600",Good 6.2,Banglore,23/02/2021,25/02/2021
9,The Chancery Pavilion,"135 Residency Road, Bengaluru, Karnataka, 560025, India","0.7 km to Bengaluru, Karnataka, India
5.6 km to Bengaluru",PoolFree parkingAirport transferSpaGym,"Rs4,600",Good 6.2,Banglore,23/02/2021,25/02/2021
10,JW Marriott Hotel Bengaluru,"24/1 Vittal Mallya Road, Bengaluru, Karnataka, 560001, India","0.1 km to Bengaluru, Karnataka, India
4.9 km to Bengaluru",PoolFree parkingAirport transferSpaGymBathtub,"Rs13,098",Superb 9.0,Banglore,23/02/2021,25/02/2021
11,Adarsh Hamilton,"2/4, Langford Garden Road, Richmond Town, Bengaluru, Karnataka, 560025, India","0.9 km to Bengaluru, Karnataka, India
5.7 km to Bengaluru",Free parkingAirport transferGymBathtub,"Rs8,400",Superb 9.2,Banglore,23/02/2021,25/02/2021
12,The Elanza Hotel,"88/2 Richmond Road, Bengaluru, Karnataka, 560025, India","1.1 km to Bengaluru, Karnataka, India
6.0 km to Bengaluru",Free parkingAirport transferGym,"Rs4,998",Good 7.8,Banglore,23/02/2021,25/02/2021
13,The Chancery Hotel,"10/6, Lavelle Road, Bengaluru, Karnataka, 560001, India","0.7 km to Bengaluru, Karnataka, India
5.2 km to Bengaluru",Free parkingAirport transferSpaGymBathtub,"Rs3,703",Good 7.8,Banglore,23/02/2021,25/02/2021
14,Taj West End,"#25 Race Course Road, Bengaluru, Karnataka, 560 001, India","1.7 km to Bengaluru, Karnataka, India
3.4 km to Bengaluru",PoolFree parkingAirport transferSpaGym,"Rs15,000",Superb 9.2,Banglore,23/02/2021,25/02/2021
15,Shangri-La Hotel Bengaluru,"No 56-6B Palace Road, Bengaluru, Karnataka, 560052, India","2.3 km to Bengaluru, Karnataka, India
3.6 km to Bengaluru",PoolFree parkingAirport transferSpaGym,"Rs11,000",Exceptional 9.4,Banglore,23/02/2021,25/02/2021
16,Radisson Bengaluru City Center,"2, Gangadhar Chetty Road, Ulsoor, Bengaluru, Karnataka, 560042, India","2.5 km to Bengaluru, Karnataka, India
6.7 km to Bengaluru",PoolFree parkingAirport transferSpaGymBathtub,"Rs6,900",Fabulous 8.8,Banglore,23/02/2021,25/02/2021
17,WelcomHotel Bengaluru - Member ITCHotel Group,"46, Richmond Road - Off M.G Road, Bengaluru, Karnataka, 560 025, India","2.2 km to Bengaluru, Karnataka, India
7.0 km to Bengaluru",PoolFree parkingAirport transferSpaGym,"Rs6,700",Very good 8.4,Banglore,23/02/2021,25/02/2021
18,Citrus Cunningham Road,"34, Cunningham Road, Bengaluru, Karnataka, 560052, India","2.1 km to Bengaluru, Karnataka, India
4.0 km to Bengaluru",Free parkingAirport transferBathtub,"Rs6,000",Very good 8.4,Banglore,23/02/2021,25/02/2021
19,Iris Hotel,"70 Brigade Road, Bengaluru, Karnataka, 560025, India","1.3 km to Bengaluru, Karnataka, India
6.1 km to Bengaluru",PoolFree parkingAirport transferSpaGym,"Rs5,398",Very good 8.4,Banglore,23/02/2021,25/02/2021
20,Iris Hotel,"70 Brigade Road, Bengaluru, Karnataka, 560025, India","1.3 km to Bengaluru, Karnataka, India
6.1 km to Bengaluru",PoolFree parkingAirport transferSpaGym,"Rs5,398",Very good 8.4,Banglore,23/02/2021,25/02/2021
21,"The Oberoi, Bengaluru","37-39 Mahatma Gandhi Road, MG Road- Residency Road, Bengaluru, Karnataka, 560 001, India","2.6 km to Bengaluru, Karnataka, India
7.2 km to Bengaluru",PoolFree parkingAirport transferSpaGymBathtub,"Rs13,000",Exceptional 9.6,Banglore,23/02/2021,25/02/2021
22,"Taj MG Road, Bengaluru","41/3 Mahatma Gandhi Road, Bengaluru, Karnataka, 560001, India","2.8 km to Bengaluru, Karnataka, India
7.4 km to Bengaluru",PoolFree parkingAirport transferSpaGym,"Rs9,500",Superb 9.0,Banglore,23/02/2021,25/02/2021
23,"The Ritz-Carlton, Bangalore","Number 99 Residency Road, Bengaluru, Karnataka, 560025, India","0.8 km to Bengaluru, Karnataka, India
5.7 km to Bengaluru",PoolAirport transferSpaGym,"Rs11,000",Exceptional 9.6,Banglore,23/02/2021,25/02/2021
24,Hotel Ivory Tower,"12th floor, Barton Centre, 84 M.G.Road, Bengaluru, 560001, India","1.2 km to Bengaluru, Karnataka, India
5.8 km to Bengaluru",Free parking,"Rs7,832",Very good 8.4,Banglore,23/02/2021,25/02/2021
25,Fortune Select JP Cosmos-Member ITC Hotel Group,"No 49 Cunningham Crescent Road, Behind Sigma Mall, Bengaluru, Karnataka, 560052, India","2.0 km to Bengaluru, Karnataka, India
4.3 km to Bengaluru",PoolFree parkingAirport transferSpaGymBathtub,"Rs5,490",Good 7.6,Banglore,23/02/2021,25/02/2021
26,Orchid Suites Bangalore,"12 & 12/1 D'Souza Road, on Hayes Road, off Residency road, Bengaluru, 560025, India","0.8 km to Bengaluru, Karnataka, India
5.7 km to Bengaluru",Airport transferGym,"Rs6,990",Good 6.8,Banglore,23/02/2021,25/02/2021
27,Hotel Geo,"Corporation Cir, Devanga Hostel Road, Bengaluru, KA, 560027, India","0.9 km to Bengaluru, Karnataka, India
4.6 km to Bengaluru",Free parking,"Rs4,464",Exceptional 10.0,Banglore,23/02/2021,25/02/2021
28,Temple Tree Hotel,"#3, 9th Cross, Wilson Garden, Bengaluru, 560027, India","2.6 km to Bengaluru, Karnataka, India
6.6 km to Bengaluru",Free parkingAirport transferGym,"Rs4,500",Good 7.6,Banglore,23/02/2021,25/02/2021
29,Octave Suites Residency Rd,"Toucan Plaza, 65 Residency Road, Bengaluru, 560 025, India","1.6 km to Bengaluru, Karnataka, India
6.3 km to Bengaluru",Free parkingAirport transfer,"Rs4,150",Good 6.8,Banglore,23/02/2021,25/02/2021
30,Octave Church Inn,"52 Church St, Bengaluru, KA, 560001, India","1.2 km to Bengaluru, Karnataka, India
5.8 km to Bengaluru",Free parking,"Rs2,475",Exceptional 10.0,Banglore,23/02/2021,25/02/2021
31,Octave Church Inn,"52 Church St, Bengaluru, KA, 560001, India","1.2 km to Bengaluru, Karnataka, India
5.8 km to Bengaluru",Free parking,"Rs2,475",Exceptional 10.0,Banglore,23/02/2021,25/02/2021
32,"The Park, Bangalore","14/7 Mahatma Gandhi Road, Opposite to 1 MG Mall, Bengaluru, Karnataka, 560042, India","2.8 km to Bengaluru, Karnataka, India
7.4 km to Bengaluru",PoolFree parkingAirport transferSpaGym,"Rs7,125",Good 7.6,Banglore,23/02/2021,25/02/2021
33,"ITC Windsor, A Luxury Collection Hotel, Bengaluru","Windsor Square,25, Golf Course Road, Bengaluru, Karnataka, 560052, India","2.7 km to Bengaluru, Karnataka, India
3.2 km to Bengaluru",Free parkingAirport transferSpaBathtub,"Rs7,670",Superb 9.2,Banglore,23/02/2021,25/02/2021
34,Renaissance Bengaluru Race Course Hotel,"No. 17 and 17/1, Madhavanagar Extension, Race Course Lane, Corp Ward No. 77, Bengaluru, Karnataka, 560001, India","2.4 km to Bengaluru, Karnataka, India
2.5 km to Bengaluru",PoolFree parkingAirport transferSpaGymBathtub,"Rs7,110",Exceptional 9.4,Banglore,23/02/2021,25/02/2021
35,Springs Hotel And Spa,"#19, H. Siddaiah Road, off J.C. Road, Bengaluru, Karnataka, 560 002, India","2.1 km to Bengaluru, Karnataka, India
5.1 km to Bengaluru",PoolFree parkingAirport transferSpa,"Rs5,600",5.6,Banglore,23/02/2021,25/02/2021
36,Goldfinch Hotel,"32/3 Cresent Road, High Grounds, Bengaluru, Karnataka, 560001, India","2.2 km to Bengaluru, Karnataka, India
2.8 km to Bengaluru",Free parkingAirport transferSpaBathtub,"Rs6,898",Good 6.4,Banglore,23/02/2021,25/02/2021
37,The Citadel Hotel,"No. 41, Seshadri Road, Ananda Rao Circle, Bengaluru, Karnataka, 560 009, India","2.3 km to Bengaluru, Karnataka, India
2.6 km to Bengaluru",Free parkingAirport transferGym,"Rs6,351",4,Banglore,23/02/2021,25/02/2021
38,Hyatt Centric MG Road Bangalore,"1/1 Swami Vivekananda Road, Ulsoor, Bengaluru, Karnataka, 560008, India","3.0 km to Bengaluru, Karnataka, India
7.6 km to Bengaluru",PoolFree parkingAirport transferSpaGym,"Rs7,300",Fabulous 8.8,Banglore,23/02/2021,25/02/2021
39,"Lemon Tree Premier, Ulsoor Lake, Bengaluru","2/1, St. Johns Road, Bengaluru, Karnataka, 560042, India","3.0 km to Bengaluru, Karnataka, India
6.7 km to Bengaluru",PoolFree parkingAirport transferSpaGymBathtub,"Rs5,278",Very good 8.0,Banglore,23/02/2021,25/02/2021
40,Casa Cottage,"No: 2, Clapham Street, Richmond Town, Bengaluru, Karnataka, 560025, India","1.3 km to Bengaluru, Karnataka, India
6.2 km to Bengaluru",Free parkingAirport transfer,"Rs4,050",Superb 9.0,Banglore,23/02/2021,25/02/2021
41,Holiday Inn Bengaluru Racecourse,"#16/1, Sheshadri Road, Gandhinagar, Ward No. 94, Bengaluru, 560009, India","2.0 km to Bengaluru, Karnataka, India
2.9 km to Bengaluru",PoolFree parkingAirport transferSpaGymBathtub,"Rs4,298",Good 7.8,Banglore,23/02/2021,25/02/2021
