,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,The Park New Delhi,"15 Parliament Street, Near Connaught Place, New Delhi, Delhi N.C.R, 110001, India","0.6 km to city centre
15 km to Indira Gandhi International Airport (DEL)",PoolFree parkingSpaGymRestaurantBar,"Rs7,198",Good 6.8,New Delhi,24-02-2021,26-02-2021
1,The Metropolitan Hotel and Spa New Delhi,"Bangla Sahib Road, Connaught Place, New Delhi, Delhi N.C.R, 110 001, India","1.1 km to city centre
15 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs7,000",Very good 8.2,New Delhi,24-02-2021,26-02-2021
2,"Eros Hotel New Delhi, Nehru Place","Nehru Place, New Delhi, 110019, India","9.7 km to city centre
16 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferRestaurantBarBathtub,"Rs7,049",Good 7.4,New Delhi,24-02-2021,26-02-2021
3,"Eros Hotel New Delhi, Nehru Place","Nehru Place, New Delhi, 110019, India","9.7 km to city centre
16 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferRestaurantBarBathtub,"Rs7,049",Good 7.4,New Delhi,24-02-2021,26-02-2021
4,"Red Fox Hotel, Delhi Airport","Asset Number 6, Aerocity Hospitality District, New Delhi, Delhi N.C.R, 110037, India","13 km to city centre
3.7 km to Indira Gandhi International Airport (DEL)",GymRestaurantConnecting rooms available,"Rs4,480",Good 7.8,New Delhi,24-02-2021,26-02-2021
5,Novotel New Delhi Aerocity Hotel,"Asset 2, Aerocity Hospitality District, IGI Airport New Delhi, New Delhi, Delhi N.C.R, 110037, India","13 km to city centre
3.6 km to Indira Gandhi International Airport (DEL)",PoolFree parkingSpaGymRestaurantBar,"Rs5,441",Very good 8.4,New Delhi,24-02-2021,26-02-2021
6,Novotel New Delhi Aerocity Hotel,"Asset 2, Aerocity Hospitality District, IGI Airport New Delhi, New Delhi, Delhi N.C.R, 110037, India","13 km to city centre
3.6 km to Indira Gandhi International Airport (DEL)",PoolFree parkingSpaGymRestaurantBar,"Rs5,441",Very good 8.4,New Delhi,24-02-2021,26-02-2021
7,OYO 11403 Hotel Daffodils,"105, B-105, Gurugram, India","26 km to city centre
13 km to Indira Gandhi International Airport (DEL)",Free parkingRestaurantBathtub,"Rs3,725",,New Delhi,24-02-2021,26-02-2021
8,Roseate House,"Plot No. 10, GMR Hospitality District, Indira Gandhi International Airport, New Delhi, Delhi N.C.R, 110037, India","13 km to city centre
3.4 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs8,124",Fabulous 8.6,New Delhi,24-02-2021,26-02-2021
9,Hotel Godwin Deluxe,"8501/15 Arakashan Road, Paharganj, New Delhi, Delhi N.C.R, 110055, India","1.5 km to city centre
16 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferRestaurantBarInternet accessConnecting rooms available,"Rs2,760",Good 7.4,New Delhi,24-02-2021,26-02-2021
10,Hotel Godwin Deluxe,"8501/15 Arakashan Road, Paharganj, New Delhi, Delhi N.C.R, 110055, India","1.5 km to city centre
16 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferRestaurantBarInternet accessConnecting rooms available,"Rs2,760",Good 7.4,New Delhi,24-02-2021,26-02-2021
11,"Taj Palace, New Delhi","2 Sardar Patel Marg, New Delhi, Delhi N.C.R, 110 021, India","6.3 km to city centre
9.4 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs15,438",Superb 9.0,New Delhi,24-02-2021,26-02-2021
12,ibis New Delhi Aerocity Hotel,"Asset No 9, Hospitality District, Delhi Aerocity, New Delhi, Delhi N.C.R, 110037, India","13 km to city centre
3.7 km to Indira Gandhi International Airport (DEL)",PoolFree parkingPet-friendlyGymRestaurantBar,"Rs4,400",Good 7.8,New Delhi,24-02-2021,26-02-2021
13,The Claridges New Delhi,"12 Dr APJ Abdul Kalam Road, (Formerly known as Aurangzeb Road), New Delhi, National Capital Territory of Delhi, 110011, India","9.1 km to city centre
6.5 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs7,650",Fabulous 8.8,New Delhi,24-02-2021,26-02-2021
14,ADB Rooms Gaurav Guest House,"9201/4,Multani Dhanda, Paharganj, New Delhi, DL, 110055, India","1.9 km to city centre
16 km to Indira Gandhi International Airport (DEL)",Bathtub,"Rs3,200",,New Delhi,24-02-2021,26-02-2021
15,Hotel Sohi Residency,"8/25, W.E.A., Karol Bagh, New Delhi, Delhi N.C.R, 110005, India","3.4 km to city centre
14 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferGymMeeting Facilities,"Rs4,755",Very good 8.0,New Delhi,24-02-2021,26-02-2021
