,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,Patnem Palolem Beach Park Appt,"59/20, Patnem Palolem Beach Road, Near The Tubki Resort, Canacona, Goa, 403702, India","69 km to Baga Beach
68 km to Calangute Beach",PoolFree parkingAirport transferGymRestaurantKitchen,"Rs16,148",Exceptional 9.4,Goa,24/02/2021,03/03/2021
1,Jasminn Hotel,"Unit Of Rammi Khanna And Company, 79/B, Nagvaddo, Salcete, Betalbatim, Goa, 403713, India","34 km to Baga Beach
33 km to Calangute Beach",PoolFree parkingPet-friendlyAirport transferGymRestaurant,"Rs18,074",Very good 8.0,Goa,24/02/2021,03/03/2021
2,Baywatch Resort,"Sernabatim, Colva, Goa, 403708, India","37 km to Baga Beach
35 km to Calangute Beach",PoolFree parkingSpaGymRestaurantBar,"Rs32,472",4,Goa,24/02/2021,03/03/2021
3,GINGER Goa Madgaon,"GINGER Goa, Madgaon Opposite Madgaon, Junction Railway Station, Aquem, Margao, Margao, GA, 403601, India","40 km to Baga Beach
38 km to Calangute Beach",Free parkingAirport transferGymRestaurant,"Rs15,594",Exceptional 10.0,Goa,24/02/2021,03/03/2021
4,Grand Hyatt Goa,"Goa University, Bambolim, Goa, 403206, India","16 km to Baga Beach
15 km to Calangute Beach",PoolFree parkingAirport transferSpaGymRestaurant,"Rs110,600",Superb 9.0,Goa,24/02/2021,03/03/2021
5,Grand Hyatt Goa,"Goa University, Bambolim, Goa, 403206, India","16 km to Baga Beach
15 km to Calangute Beach",PoolFree parkingAirport transferSpaGymRestaurant,"Rs110,600",Superb 9.0,Goa,24/02/2021,03/03/2021
6,The Regalia Luxury Resort,"Ashvem Beach, Morjim, GA, 403512, India","10 km to Baga Beach
12 km to Calangute Beach",PoolFree parkingRestaurantBar,"Rs39,121",Very good 8.0,Goa,24/02/2021,03/03/2021
7,Joecons Beach Resort,"1795/H, Calwaddo, Benaulim, Goa, 403716, India","40 km to Baga Beach
38 km to Calangute Beach",PoolFree parkingAirport transferSpaGymRestaurant,"Rs29,500",Good 7.6,Goa,24/02/2021,03/03/2021
8,Mercure Goa Devaaya Retreat,"Devaaya Ayurveda Spa Resort Di, Divar Island, Goa, 403403, India","17 km to Baga Beach
16 km to Calangute Beach",PoolFree parkingAirport transferGymRestaurantBar,"Rs30,800",Superb 9.2,Goa,24/02/2021,03/03/2021
9,Mercure Goa Devaaya Retreat,"Devaaya Ayurveda Spa Resort Di, Divar Island, Goa, 403403, India","17 km to Baga Beach
16 km to Calangute Beach",PoolFree parkingAirport transferGymRestaurantBar,"Rs30,800",Superb 9.2,Goa,24/02/2021,03/03/2021
10,Planet Hollywood Goa Beach Resort,"30/3, Acsona Waddo, Uttorda Beach, Salcete, Uttorda, Goa, 403713, India","31 km to Baga Beach
30 km to Calangute Beach",PoolFree parkingPet-friendlyAirport transferRestaurantBar,"Rs72,000",Very good 8.4,Goa,24/02/2021,03/03/2021
11,"Anamiva, Goa - AM Hotel Kollection","House #1259/2, Survey Number 509/1A, Gaonwadi, Badez, Anjuna, Anjuna, Goa, 403509, India","3.4 km to Baga Beach
4.9 km to Calangute Beach",PoolFree parkingRestaurantBar,"Rs37,300",Exceptional 10.0,Goa,24/02/2021,03/03/2021
12,"Red Fox Hotel, Morjim, Goa (By Lemon Tree Hotels)","1435, Kannaikawada, Opp. Morjim Football Ground, Morjim, Goa, 403512, India","7.5 km to Baga Beach
9.2 km to Calangute Beach",PoolFree parkingSpaRestaurantBarConnecting rooms available,"Rs22,957",Good 7.6,Goa,24/02/2021,03/03/2021
13,GOA WOODLANDS HOTEL,"MIGUEL LOYOLA FURTADO ROAD OPP., CITY BUS STAND, MADGAON, Margao, 403601, India","38 km to Baga Beach
37 km to Calangute Beach",RestaurantBar,"Rs14,000",,Goa,24/02/2021,03/03/2021
14,Coconut Creek,"Bimmut Ward, Bogmolo, Marmagao, Goa, 403806, India","22 km to Baga Beach
21 km to Calangute Beach",PoolFree parkingAirport transferSpaRestaurantBar,"Rs51,450",Exceptional 9.4,Goa,24/02/2021,03/03/2021
15,VITS Shanti Solitaire Arpora,"Survey No 112/1, Diwan Bati, North Goa, Arpora, Goa, 403501, India","1.7 km to Baga Beach
2.5 km to Calangute Beach",PoolFree parkingSpaRestaurantBar,"Rs21,201",,Goa,24/02/2021,03/03/2021
16,Vedatmana Boa Ventura,"Near Dabolim Airport, Main Airport-, MES Junction Rd, Opposite Zuari Gate, Sancoale, Goa, 403726, India","22 km to Baga Beach
20 km to Calangute Beach",PoolFree parkingAirport transferGymRestaurantBar,"Rs20,081",Good 7.8,Goa,24/02/2021,03/03/2021
17,StayApart - Village Susegat,"124/5, Vithaldas Vaddo, Pernem, Morjim, Goa, 403512, India","8.0 km to Baga Beach
9.6 km to Calangute Beach",Free parking,"Rs18,195",Very good 8.0,Goa,24/02/2021,03/03/2021
18,Bean Me Up,"1639/2 Devulvaddo, Ozran Beach Road, Near Petrol Pump, Vagator, 403509, India","4.4 km to Baga Beach
6.0 km to Calangute Beach",Free parkingPet-friendlyAirport transferRestaurantBar,"Rs8,750",Good 6.0,Goa,24/02/2021,03/03/2021
19,Cidade De Goa - IHCL SeleQtions,"Vainguinim Beach, Dona Paula, Dona Paula, Goa, 403004, India","13 km to Baga Beach
11 km to Calangute Beach",PoolFree parkingSpaRestaurantBarInternet access,"Rs74,993",Superb 9.0,Goa,24/02/2021,03/03/2021
20,Cidade De Goa - IHCL SeleQtions,"Vainguinim Beach, Dona Paula, Dona Paula, Goa, 403004, India","13 km to Baga Beach
11 km to Calangute Beach",PoolFree parkingSpaRestaurantBarInternet access,"Rs74,993",Superb 9.0,Goa,24/02/2021,03/03/2021
21,Ala Goa Resort,"No. 82, B, Ranvaddo, Betalbatim, Goa, 403713, India","34 km to Baga Beach
32 km to Calangute Beach",PoolFree parkingAirport transferRestaurantBarBathtub,"Rs23,800",Very good 8.0,Goa,24/02/2021,03/03/2021
22,Cafe Blue Hotel,"Palolem Beach, Canacona, Goa, 403702, India","67 km to Baga Beach
65 km to Calangute Beach",Airport transferRestaurantBar,"Rs23,172",Fabulous 8.8,Goa,24/02/2021,03/03/2021
23,Meraden Opus,"Ajuna Flea Market Road, Anjuna, Goa, 403 509, India","2.0 km to Baga Beach
3.6 km to Calangute Beach",PoolFree parkingAirport transferRestaurantBar,"Rs14,490",Good 6.4,Goa,24/02/2021,03/03/2021
24,Urja Resorts,"372/1A, Casablanca complex, Vagator Beach Road, Vagator, Goa, 403509, India","4.8 km to Baga Beach
6.4 km to Calangute Beach",PoolFree parkingPet-friendlyAirport transferRestaurantBar,"Rs9,486",Very good 8.0,Goa,24/02/2021,03/03/2021
25,Agonda Paradise,"Agonda Beach Road, Dhaval Khazan, Agonda, Canacona, Goa, 403702, India","62 km to Baga Beach
60 km to Calangute Beach",Free parkingAirport transferRestaurant,"Rs25,248",Superb 9.0,Goa,24/02/2021,03/03/2021
26,Highland Beach Resort,"Candolim, Candolim, Goa, 403515, India","4.8 km to Baga Beach
3.2 km to Calangute Beach",PoolFree parkingGymRestaurantBar,"Rs16,666",Very good 8.2,Goa,24/02/2021,03/03/2021
27,Star of the Sea Resort,"Off Benaulim beach road, Vasvaddo, Salcette, Benaulim, Goa, 403716, India","38 km to Baga Beach
36 km to Calangute Beach",PoolFree parkingAirport transferRestaurantBar,"Rs14,000",Good 7.6,Goa,24/02/2021,03/03/2021
28,Kashinath Beach Huts,"Agonda Beach Rd, Canacona, Goa, 403702, India","64 km to Baga Beach
62 km to Calangute Beach",Free parkingRestaurant,"Rs8,400",Very good 8.0,Goa,24/02/2021,03/03/2021
29,Nanutel Margao,"Padre Miranda Road, Margao, Goa, 403601, India","38 km to Baga Beach
37 km to Calangute Beach",PoolFree parkingAirport transferRestaurantBarInternet access,"Rs30,576",Very good 8.2,Goa,24/02/2021,03/03/2021
30,Seasons Hotels & Resorts,"Near Jawaharlal Nehru Stadium, Fatorda, Margao, Goa, 403602, India","37 km to Baga Beach
36 km to Calangute Beach",Free parkingAirport transferGymRestaurantBar,"Rs15,050",Good 6.0,Goa,24/02/2021,03/03/2021
31,Seasons Hotels & Resorts,"Near Jawaharlal Nehru Stadium, Fatorda, Margao, Goa, 403602, India","37 km to Baga Beach
36 km to Calangute Beach",Free parkingAirport transferGymRestaurantBar,"Rs15,050",Good 6.0,Goa,24/02/2021,03/03/2021
32,"The Fern Kesarval Hotel & Spa Verna Plateau, Goa","Verna Plateau, Cortalim Goa, Verna, Goa, 403710, India","27 km to Baga Beach
26 km to Calangute Beach",PoolFree parkingAirport transferSpaGymRestaurant,"Rs29,159",,Goa,24/02/2021,03/03/2021
33,Hotel Ocean Touch,"H.No. 468/2,4th Ward, Next to Soul Vacation, Colva, Goa, 403708, India","36 km to Baga Beach
34 km to Calangute Beach",Free parkingRestaurantBar,"Rs15,898",5.6,Goa,24/02/2021,03/03/2021
34,"Village Royale, Calangute Beach","Near Dharwad narsingh home, Dongarpur, Calangute, Calangute, 403516, India","2.7 km to Baga Beach
1.9 km to Calangute Beach",PoolFree parkingRestaurantBar,"Rs12,600",,Goa,24/02/2021,03/03/2021
35,SinQ Edge,"Taleigao Rd, Dona Paula, Dona Paula, Goa, 403206, India","13 km to Baga Beach
12 km to Calangute Beach",PoolFree parkingRestaurantBar,"Rs27,930",Exceptional 10.0,Goa,24/02/2021,03/03/2021
36,Royal Orchid Beach Resort & Spa,"Uttorda Beach, Uttorda, Goa, 403 713, India","31 km to Baga Beach
29 km to Calangute Beach",PoolFree parkingAirport transferSpaGymRestaurant,"Rs74,694",Good 7.2,Goa,24/02/2021,03/03/2021
37,Ondas Do Mar Beach Resort Phase 1,"Holiday Street, Calangute, Goa, 403516, India","2.8 km to Baga Beach
1.2 km to Calangute Beach",PoolFree parkingAirport transferRestaurantBar,"Rs11,200",5,Goa,24/02/2021,03/03/2021
38,OYO 8065 Accovah Map5 Inn,"Plot No. 188-1, New Wada Ashwem, Morjim, Goa, 403512, India","9.7 km to Baga Beach
11 km to Calangute Beach",Free parkingBathtub,"Rs11,351",Very good 8.0,Goa,24/02/2021,03/03/2021
39,ibis Styles Goa Calangute Hotel,"Survey 166 7, Naikawaddo, Calangute, Goa, 403516, India","2.2 km to Baga Beach
0.8 km to Calangute Beach",PoolFree parkingAirport transferGymRestaurantBar,"Rs43,770",Very good 8.2,Goa,24/02/2021,03/03/2021
