,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,Goa Marriott Resort & Spa,"Miramar Beach, Panaji, Goa, 403001, India","10 km to Baga Beach
8.5 km to Calangute Beach",PoolFree parkingPet-friendlyAirport transferSpaGym,"Rs32,698",Fabulous 8.6,Goa,23/02/2021,25/02/2021
1,Patnem Palolem Beach Park Appt,"59/20, Patnem Palolem Beach Road, Near The Tubki Resort, Canacona, Goa, 403702, India","69 km to Baga Beach
68 km to Calangute Beach",PoolFree parkingAirport transferGymRestaurantKitchen,"Rs4,000",Exceptional 9.4,Goa,23/02/2021,25/02/2021
2,Beleza By The Beach,"Thandwaddo, Betalbatim,, Betalbatim, Goa, 403708, India","34 km to Baga Beach
33 km to Calangute Beach",PoolFree parkingAirport transferSpaGymRestaurant,"Rs16,998",Fabulous 8.8,Goa,23/02/2021,25/02/2021
3,Planet Hollywood Goa Beach Resort,"30/3, Acsona Waddo, Uttorda Beach, Salcete, Uttorda, Goa, 403713, India","31 km to Baga Beach
30 km to Calangute Beach",PoolFree parkingPet-friendlyAirport transferRestaurantBar,"Rs19,000",Very good 8.4,Goa,23/02/2021,25/02/2021
4,Mercure Goa Devaaya Retreat,"Devaaya Ayurveda Spa Resort Di, Divar Island, Goa, 403403, India","17 km to Baga Beach
16 km to Calangute Beach",PoolFree parkingAirport transferGymRestaurantBar,"Rs8,800",Superb 9.2,Goa,23/02/2021,25/02/2021
5,Mercure Goa Devaaya Retreat,"Devaaya Ayurveda Spa Resort Di, Divar Island, Goa, 403403, India","17 km to Baga Beach
16 km to Calangute Beach",PoolFree parkingAirport transferGymRestaurantBar,"Rs8,800",Superb 9.2,Goa,23/02/2021,25/02/2021
6,"Vivanta Goa, Panaji","Dr D B Bandodkar Road, Panaji, Goa, 403001, India","10 km to Baga Beach
8.8 km to Calangute Beach",PoolFree parkingPet-friendlyAirport transferSpaGym,"Rs19,000",Exceptional 9.4,Goa,23/02/2021,25/02/2021
7,RUSTIC VILLAGE - BY RIVASA,"Opposite Infantaria, Behind McDonalds, Prabhuwado, Calangute, Goa, 403516, India","1.5 km to Baga Beach
0.8 km to Calangute Beach",Free parking,"Rs2,679",,Goa,23/02/2021,25/02/2021
8,Taj Holiday Village Resort & Spa,"Sinquerim Bardez, Candolim, Goa, 403519, India","6.6 km to Baga Beach
5.0 km to Calangute Beach",PoolFree parkingPet-friendlySpaRestaurantBar,"Rs30,000",Superb 9.0,Goa,23/02/2021,25/02/2021
9,Baywatch Resort,"Sernabatim, Colva, Goa, 403708, India","37 km to Baga Beach
35 km to Calangute Beach",PoolFree parkingSpaGymRestaurantBar,"Rs11,198",4,Goa,23/02/2021,25/02/2021
10,Baywatch Resort,"Sernabatim, Colva, Goa, 403708, India","37 km to Baga Beach
35 km to Calangute Beach",PoolFree parkingSpaGymRestaurantBar,"Rs11,198",4,Goa,23/02/2021,25/02/2021
11,"Anamiva, Goa - AM Hotel Kollection","House #1259/2, Survey Number 509/1A, Gaonwadi, Badez, Anjuna, Anjuna, Goa, 403509, India","3.4 km to Baga Beach
4.9 km to Calangute Beach",PoolFree parkingRestaurantBar,"Rs9,900",Exceptional 10.0,Goa,23/02/2021,25/02/2021
12,Brushwood Villa,"242/A Colomb Patnem, Canacona, Goa, 403702, India","68 km to Baga Beach
67 km to Calangute Beach",Free parkingAirport transferGym,"Rs1,600",Very good 8.0,Goa,23/02/2021,25/02/2021
13,Cidade De Goa - IHCL SeleQtions,"Vainguinim Beach, Dona Paula, Dona Paula, Goa, 403004, India","13 km to Baga Beach
11 km to Calangute Beach",PoolFree parkingSpaRestaurantBarInternet access,"Rs20,998",Superb 9.0,Goa,23/02/2021,25/02/2021
14,Coconut Creek,"Bimmut Ward, Bogmolo, Marmagao, Goa, 403806, India","22 km to Baga Beach
21 km to Calangute Beach",PoolFree parkingAirport transferSpaRestaurantBar,"Rs14,700",Exceptional 9.4,Goa,23/02/2021,25/02/2021
15,Anahata Retreat,"Ashvem Beach, Mandrem, Ashvem, Goa, 403512, India","11 km to Baga Beach
12 km to Calangute Beach",Free parkingAirport transferSpaRestaurantBar,"Rs11,000",Good 7.2,Goa,23/02/2021,25/02/2021
16,"Red Fox Hotel, Morjim, Goa (By Lemon Tree Hotels)","1435, Kannaikawada, Opp. Morjim Football Ground, Morjim, Goa, 403512, India","7.5 km to Baga Beach
9.2 km to Calangute Beach",PoolFree parkingSpaRestaurantBarConnecting rooms available,"Rs6,078",Good 7.6,Goa,23/02/2021,25/02/2021
