,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,Courtyard by Marriott Hyderabad,"1 3 1024 Lower Tank Bund Road, Hyderabad, Andhra Pradesh, 500001, India","4.7 km to city centre
21 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs20,636",Superb 9.0,Hyderabad,24/02/2021,03/03/2021
1,Le Meridien Hyderabad,"Plot No. 132, Miyapur Rd. Gachibowli, Hyderabad, Telangana, 500032, India","13 km to city centre
24 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingSpaGymRestaurantBar,"Rs22,550",Fabulous 8.8,Hyderabad,24/02/2021,03/03/2021
2,FabHotel Yesmark Gachibowli,"Jayabheri Pinevally, Plot # 18, Beside, Gachibowli Police Commissioner Office, Hyderabad, Telangana, 500032, India","11 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parking,"Rs11,186",Good 6.0,Hyderabad,24/02/2021,03/03/2021
3,FabHotel Yesmark Gachibowli,"Jayabheri Pinevally, Plot # 18, Beside, Gachibowli Police Commissioner Office, Hyderabad, Telangana, 500032, India","11 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parking,"Rs11,186",Good 6.0,Hyderabad,24/02/2021,03/03/2021
4,Taj Deccan,"Rd Number 1, Balapur Basthi, Banjara Hills, Telangana, Hyderabad, Andhra Pradesh, 500034, India","3.8 km to city centre
19 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs24,150",Superb 9.0,Hyderabad,24/02/2021,03/03/2021
5,Novotel Hyderabad Airport Hotel,"Rajiv Gandhi International Airport, Shamshabad, RR District, Hyderabad, Andhra Pradesh, 500409, India","16 km to city centre
1.5 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingSpaGymRestaurantBar,"Rs38,599",Good 7.6,Hyderabad,24/02/2021,03/03/2021
6,Novotel Hyderabad Airport Hotel,"Rajiv Gandhi International Airport, Shamshabad, RR District, Hyderabad, Andhra Pradesh, 500409, India","16 km to city centre
1.5 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingSpaGymRestaurantBar,"Rs38,599",Good 7.6,Hyderabad,24/02/2021,03/03/2021
7,Hyderabad Marriott Hotel & Convention Centre,"Opp Hussain Sagar Lake Tank Bund Rd, Hyderabad, Andhra Pradesh, 500080, India","4.6 km to city centre
21 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingSpaGymRestaurantBar,"Rs22,176",Very good 8.4,Hyderabad,24/02/2021,03/03/2021
8,The Westin Hyderabad Mindspace,"Raheja IT Park, Hitec City, Madhapur, Hyderabad, Telangana, 500081, India","9.9 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs23,031",Fabulous 8.8,Hyderabad,24/02/2021,03/03/2021
9,Lemon Tree Hotel Banjara Hills,"6-3-248/1/1/B, Bhaskara Plaza, Road No.1, Banjara Hills, Hyderabad, Telangana, 500034, India","3.1 km to city centre
19 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingGymRestaurantBathtub,"Rs21,434",Fabulous 8.6,Hyderabad,24/02/2021,03/03/2021
10,Hyatt Place Hyderabad Banjara Hills,"Banjara Hills Road 1, Hyderabad, Telangana, 500034, India","3.0 km to city centre
19 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferGymRestaurantBar,"Rs25,655",Very good 8.0,Hyderabad,24/02/2021,03/03/2021
11,OYO 40125 Sri Rama Empire,"132133,Goldcrest School Road, Gachibowli, Hyderabad, Telangana, 500032, India","15 km to city centre
24 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingRestaurantBathtub,"Rs13,706",,Hyderabad,24/02/2021,03/03/2021
12,Lemon Tree Hotel Gachibowli Hyderabad,"No 115/1,Financial District Nanakramguda, Serilingampally, Gachibowli, Hyderabad, Andhra Pradesh, 500032, India","15 km to city centre
23 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferBathtubConnecting rooms available,"Rs16,794",Very good 8.2,Hyderabad,24/02/2021,03/03/2021
13,Trident Hyderabad,"HITEC City, Near Cyber Towers, Hyderabad, Andhra Pradesh, 500 081, India","11 km to city centre
24 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs32,500",Exceptional 9.6,Hyderabad,24/02/2021,03/03/2021
14,Trident Hyderabad,"HITEC City, Near Cyber Towers, Hyderabad, Andhra Pradesh, 500 081, India","11 km to city centre
24 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs32,500",Exceptional 9.6,Hyderabad,24/02/2021,03/03/2021
15,"Vivanta Hyderabad, Begumpet","1 10 147 148 Mayuri Marg, Hyderabad, Andhra Pradesh, 500016, India","6.1 km to city centre
22 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingPet-friendlyAirport transferSpaGym,"Rs25,700",Very good 8.2,Hyderabad,24/02/2021,03/03/2021
16,"Lemon Tree Premier, HITEC City, Hyderabad","Plot No. 2, Survey No. 64, Hitech City, Madhapur, Hyderabad, Andhra Pradesh, 500081, India","11 km to city centre
23 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs28,024",Good 7.6,Hyderabad,24/02/2021,03/03/2021
17,Taj Banjara,"Road No. 1, Banjara Hills, Telangana, Hyderabad, Andhra Pradesh, 500034, India","2.9 km to city centre
18 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferGymRestaurantBar,"Rs23,786",Good 6.8,Hyderabad,24/02/2021,03/03/2021
18,The Park Hyderabad,"22, RajBhavan Road, Somajiguda, Hyderabad, Andhra Pradesh, 500082, India","4.0 km to city centre
20 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs16,680",Good 7.0,Hyderabad,24/02/2021,03/03/2021
19,"Red Fox Hotel, HITEC City, Hyderabad","Plot No. 2, HITEC City, Hyderabad, Andhra Pradesh, 500081, India","11 km to city centre
23 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferGymRestaurantBar,"Rs15,234",Good 7.0,Hyderabad,24/02/2021,03/03/2021
20,Best Western Ashoka,"6-1-70, Lakdi-ka-pul, Hyderabad, Andhra Pradesh, 500004, India","1.7 km to city centre
18 km to Hyderabad (HYD-Rajiv Gandhi Intl.)",Free parkingAirport transferGymRestaurantBar,"Rs19,032",Good 7.8,Hyderabad,24/02/2021,03/03/2021
