,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,Hotel Mandala Leh Ladakh,"Fort Road, Leh, Jammu and Kashmir 194101, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
2.6 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs70,000",,Leh,24-02-2021,26-02-2021
1,Pangong Heritage Camp,"Pangong Lake Road, Pangong, Spangmik, Leh, 194101, India","46 km to city centre
87 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurantBathtub,"Rs10,000",Fabulous 8.6,Leh,24-02-2021,26-02-2021
2,White House bnb Leh,"white house bnb Fort Road, White House Complex, Leh, 19410, India","45 km to city centre
3.4 km to Leh (IXL-Kushok Bakula Rinpoche)",,"Rs20,000",,Leh,24-02-2021,26-02-2021
3,The Maitreya Ladakh,"Katpa', Opposite Lamdon Senior Seconadary School, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
4.9 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingPet-friendly,"Rs36,100",Fabulous 8.6,Leh,24-02-2021,26-02-2021
4,The Grand Dragon Ladakh,"Old Road Sheynam Leh, Union Territory of Ladakh, Leh, Leh, 194101, India","45 km to city centre
2.8 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingAirport transferGymRestaurantConnecting rooms available,"Rs15,400",Exceptional 9.6,Leh,24-02-2021,26-02-2021
5,The Grand Dragon Ladakh,"Old Road Sheynam Leh, Union Territory of Ladakh, Leh, Leh, 194101, India","45 km to city centre
2.8 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingAirport transferGymRestaurantConnecting rooms available,"Rs15,400",Exceptional 9.6,Leh,24-02-2021,26-02-2021
6,The Indus Valley,"Upper Chulung, Fort Road, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
3.3 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingGymRestaurantBarConnecting rooms available,"Rs14,000",,Leh,24-02-2021,26-02-2021
7,Karakoram Hotel,"Near Karzu Pond, Circuit House, Karzu, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
3.8 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs10,000",Very good 8.0,Leh,24-02-2021,26-02-2021
8,The Verda Driftwood Ladakh,"Shey Yokma, Leh, Jammu and Kashmir, 194101, India","36 km to city centre
9.8 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingPet-friendlyAirport transferRestaurantConnecting rooms available,"Rs15,000",Superb 9.2,Leh,24-02-2021,26-02-2021
9,The Verda Driftwood Ladakh,"Shey Yokma, Leh, Jammu and Kashmir, 194101, India","36 km to city centre
9.8 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingPet-friendlyAirport transferRestaurantConnecting rooms available,"Rs15,000",Superb 9.2,Leh,24-02-2021,26-02-2021
10,Good Luck Guest House,"Spangmik Village, Pangong Lake, Leh, Jammu and Kashmir, 194101, India","46 km to city centre
87 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs10,000",2,Leh,24-02-2021,26-02-2021
11,Hotel Stendel,"Village Diskit, Leh Ladakh, Leh, 194401, India","81 km to city centre
45 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingGymRestaurant,"Rs10,000",,Leh,24-02-2021,26-02-2021
12,Maha Guest House,"Nubra, Zangsti Opp. Dzomsa Near SBI Main Bazaar, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
3.6 km to Leh (IXL-Kushok Bakula Rinpoche)",Restaurant,"Rs10,000",,Leh,24-02-2021,26-02-2021
13,Hotel Chonjor Residency,"Old Road Leh, Leh, Jammu and Kashmir, 194301, India","45 km to city centre
3.1 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs10,000",Very good 8.0,Leh,24-02-2021,26-02-2021
14,Himalayan Retreat Karzoo,"Near Deputy Commissioner Residency, Karzoo, Leh, 194101, India","45 km to city centre
3.8 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs10,000",Exceptional 10.0,Leh,24-02-2021,26-02-2021
15,Payupa Guest House,"Batalik Kargil Road, Aryan Valley, Kargil Districr, Garkone, Leh, Jammu and Kashmir, 194103, India","160 km to city centre
120 km to Leh (IXL-Kushok Bakula Rinpoche)",Restaurant,"Rs10,000",,Leh,24-02-2021,26-02-2021
16,Nubra Summer Camp,"Ombey Hunder Nubra, Leh, Jammu and Kashmir, 194401, India","87 km to city centre
49 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs10,000",,Leh,24-02-2021,26-02-2021
17,Hotel Ladakh Himalayan Retreat,"Fort Road, Behind GNN School, Leh, Jammu and Kashmir, 194101, India","46 km to city centre
2.7 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs10,000",Very good 8.0,Leh,24-02-2021,26-02-2021
18,The Wooden Nest,"Leh, Jammu and Kashmir, India","87 km to city centre
49 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs10,000",,Leh,24-02-2021,26-02-2021
19,Pangong Paradise,"Lukung, Pangong Lake, Leh, Jammu and Kashmir, 194101, India","43 km to city centre
80 km to Leh (IXL-Kushok Bakula Rinpoche)",Restaurant,"Rs10,000",,Leh,24-02-2021,26-02-2021
20,Pangong Paradise,"Lukung, Pangong Lake, Leh, Jammu and Kashmir, 194101, India","43 km to city centre
80 km to Leh (IXL-Kushok Bakula Rinpoche)",Restaurant,"Rs10,000",,Leh,24-02-2021,26-02-2021
21,Pangong Holiday Cottages,"Lukung, Pangong Lake, Leh, Jammu and Kashmir, 194101, India","43 km to city centre
80 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs10,000",5,Leh,24-02-2021,26-02-2021
22,OYO 14152 Hotel Eco Exotic,"1, Shenam, Fort Rd., Swami Vivekanand Rd Jogeshwari, Leh, Jammu & Kashmir, 194101, India","45 km to city centre
2.6 km to Leh (IXL-Kushok Bakula Rinpoche)",Bathtub,"Rs22,276",,Leh,24-02-2021,26-02-2021
23,Hotel Royal Ladakh,"Upper Karzu Road Samker, Leh, 194101, India","46 km to city centre
4.3 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs9,200",,Leh,24-02-2021,26-02-2021
24,Imperial Eco Cottage,"Leh, Jammu and Kashmir, India","94 km to city centre
60 km to Leh (IXL-Kushok Bakula Rinpoche)",Restaurant,"Rs10,000",,Leh,24-02-2021,26-02-2021
25,Nubra Ethnic Camp,"Ladakh Nubra Valley, Hunder, Leh, 194101, India","88 km to city centre
50 km to Leh (IXL-Kushok Bakula Rinpoche)",RestaurantBathtub,"Rs10,000",,Leh,24-02-2021,26-02-2021
26,Hotel Grand Nubra,"Tsogstoth Diskit Nubra Ladakh, Leh, Jammu and Kashmir, 194103, India","80 km to city centre
45 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parking,"Rs10,000",2,Leh,24-02-2021,26-02-2021
27,Eco Travellers Camp,"Lukung, Pangong Lake, Leh, Jammu and Kashmir, 194101, India","43 km to city centre
81 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs10,000",,Leh,24-02-2021,26-02-2021
28,The Buddha Camp,"Durbok, 40 kms away from the lake, Pangong, Leh, Jammu and Kashmir, 194101, India","28 km to city centre
63 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs10,000",4,Leh,24-02-2021,26-02-2021
29,Wonderland Tourist Camp,"Tangtse, Near Police check post, 35kms away from the lake, Pangong, Leh, Jammu and Kashmir, 194101, India","24 km to city centre
57 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurantBathtub,"Rs10,000",,Leh,24-02-2021,26-02-2021
30,Ladakh Tarrain Camp,"Hunder Sand Dunes, Leh, Jammu and Kashmir, 194401, India","88 km to city centre
50 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs10,000",,Leh,24-02-2021,26-02-2021
31,Ladakh Tarrain Camp,"Hunder Sand Dunes, Leh, Jammu and Kashmir, 194401, India","88 km to city centre
50 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs10,000",,Leh,24-02-2021,26-02-2021
32,Royal Deluxe Camp,"Hunder Village, Chakzot Hunder, Nubra Valley, Leh, 194101, India","88 km to city centre
50 km to Leh (IXL-Kushok Bakula Rinpoche)",Restaurant,"Rs10,000",,Leh,24-02-2021,26-02-2021
33,Hotel Dolma Residency,"Malpak, Near Dolphin Restaurant, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
3.4 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs10,000",,Leh,24-02-2021,26-02-2021
34,The Ladakh Camp,"Lukung, Pangong Lake, Leh, Jammu and Kashmir , 194101, India","43 km to city centre
81 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurantBathtub,"Rs10,000",,Leh,24-02-2021,26-02-2021
35,Golden Mark Camp,"Village Kozork, Ladakh, Leh, India","110 km to city centre
150 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs10,000",,Leh,24-02-2021,26-02-2021
36,Hotel Mandala Leh Ladakh,"Fort Road, Leh, Jammu and Kashmir 194101, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
2.6 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs140,000",,Leh,24-02-2021,28-02-2021
37,The Grand Dragon Ladakh,"Old Road Sheynam Leh, Union Territory of Ladakh, Leh, Leh, 194101, India","45 km to city centre
2.8 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingAirport transferGymRestaurantConnecting rooms available,"Rs30,800",Exceptional 9.6,Leh,24-02-2021,28-02-2021
38,White House bnb Leh,"white house bnb Fort Road, White House Complex, Leh, 19410, India","45 km to city centre
3.4 km to Leh (IXL-Kushok Bakula Rinpoche)",,"Rs40,000",,Leh,24-02-2021,28-02-2021
39,Hotel Stendel,"Village Diskit, Leh Ladakh, Leh, 194401, India","81 km to city centre
45 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingGymRestaurant,"Rs20,000",,Leh,24-02-2021,28-02-2021
40,The Indus Valley,"Upper Chulung, Fort Road, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
3.3 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingGymRestaurantBarConnecting rooms available,"Rs28,000",,Leh,24-02-2021,28-02-2021
41,The Indus Valley,"Upper Chulung, Fort Road, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
3.3 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingGymRestaurantBarConnecting rooms available,"Rs28,000",,Leh,24-02-2021,28-02-2021
42,Pangong Heritage Camp,"Pangong Lake Road, Pangong, Spangmik, Leh, 194101, India","46 km to city centre
87 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurantBathtub,"Rs20,000",Fabulous 8.6,Leh,24-02-2021,28-02-2021
43,The Maitreya Ladakh,"Katpa', Opposite Lamdon Senior Seconadary School, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
4.9 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingPet-friendly,"Rs76,000",Fabulous 8.6,Leh,24-02-2021,28-02-2021
44,Karakoram Hotel,"Near Karzu Pond, Circuit House, Karzu, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
3.8 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs20,000",Very good 8.0,Leh,24-02-2021,28-02-2021
45,Karakoram Hotel,"Near Karzu Pond, Circuit House, Karzu, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
3.8 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs20,000",Very good 8.0,Leh,24-02-2021,28-02-2021
46,Good Luck Guest House,"Spangmik Village, Pangong Lake, Leh, Jammu and Kashmir, 194101, India","46 km to city centre
87 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs20,000",2,Leh,24-02-2021,28-02-2021
47,OYO 14152 Hotel Eco Exotic,"1, Shenam, Fort Rd., Swami Vivekanand Rd Jogeshwari, Leh, Jammu & Kashmir, 194101, India","45 km to city centre
2.6 km to Leh (IXL-Kushok Bakula Rinpoche)",Bathtub,"Rs44,551",,Leh,24-02-2021,28-02-2021
48,The Wooden Nest,"Leh, Jammu and Kashmir, India","87 km to city centre
49 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs20,000",,Leh,24-02-2021,28-02-2021
49,Maha Guest House,"Nubra, Zangsti Opp. Dzomsa Near SBI Main Bazaar, Leh, Jammu and Kashmir, 194101, India","45 km to city centre
3.6 km to Leh (IXL-Kushok Bakula Rinpoche)",Restaurant,"Rs20,000",,Leh,24-02-2021,28-02-2021
50,Himalayan Retreat Karzoo,"Near Deputy Commissioner Residency, Karzoo, Leh, 194101, India","45 km to city centre
3.8 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs20,000",Exceptional 10.0,Leh,24-02-2021,28-02-2021
51,Imperial Eco Cottage,"Leh, Jammu and Kashmir, India","94 km to city centre
60 km to Leh (IXL-Kushok Bakula Rinpoche)",Restaurant,"Rs20,000",,Leh,24-02-2021,28-02-2021
52,Nubra Summer Camp,"Ombey Hunder Nubra, Leh, Jammu and Kashmir, 194401, India","87 km to city centre
49 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs20,000",,Leh,24-02-2021,28-02-2021
53,Hotel Chonjor Residency,"Old Road Leh, Leh, Jammu and Kashmir, 194301, India","45 km to city centre
3.1 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs20,000",Very good 8.0,Leh,24-02-2021,28-02-2021
54,Payupa Guest House,"Batalik Kargil Road, Aryan Valley, Kargil Districr, Garkone, Leh, Jammu and Kashmir, 194103, India","160 km to city centre
120 km to Leh (IXL-Kushok Bakula Rinpoche)",Restaurant,"Rs20,000",,Leh,24-02-2021,28-02-2021
55,The Verda Driftwood Ladakh,"Shey Yokma, Leh, Jammu and Kashmir, 194101, India","36 km to city centre
9.8 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingPet-friendlyAirport transferRestaurantConnecting rooms available,"Rs30,000",Superb 9.2,Leh,24-02-2021,28-02-2021
56,The Verda Driftwood Ladakh,"Shey Yokma, Leh, Jammu and Kashmir, 194101, India","36 km to city centre
9.8 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingPet-friendlyAirport transferRestaurantConnecting rooms available,"Rs30,000",Superb 9.2,Leh,24-02-2021,28-02-2021
57,Pangong Holiday Cottages,"Lukung, Pangong Lake, Leh, Jammu and Kashmir, 194101, India","43 km to city centre
80 km to Leh (IXL-Kushok Bakula Rinpoche)",Free parkingRestaurant,"Rs20,000",5,Leh,24-02-2021,28-02-2021
