,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,Courtyard by Marriott Mumbai International Airport,"CTS 215, Andheri Kurla Road, Andheri-East, Mumbai, Maharashtra, 400 059, India","20 km to city centre
1.9 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs6,700",Fabulous 8.8,Mumbai,24-02-2021,26-02-2021
1,The Westin Mumbai Garden City,"International Business Park, Oberoi Garden City, Goregaon East, Mumbai, Maharashtra, 400063, India","27 km to city centre
8.3 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs9,900",Superb 9.2,Mumbai,24-02-2021,26-02-2021
2,"President, Mumbai - IHCL SeleQtions","90 Cuffe Parade, Colaba, Mumbai, Maharashtra, 400005, India","2.3 km to city centre
21 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingPet-friendlyAirport transferSpaRestaurant,"Rs9,500",Fabulous 8.6,Mumbai,24-02-2021,26-02-2021
3,"President, Mumbai - IHCL SeleQtions","90 Cuffe Parade, Colaba, Mumbai, Maharashtra, 400005, India","2.3 km to city centre
21 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingPet-friendlyAirport transferSpaRestaurant,"Rs9,500",Fabulous 8.6,Mumbai,24-02-2021,26-02-2021
4,The Orchid- Ecotel Mumbai Airport,"Nehru Road, Vile Parle East, Adjacent to Domestic Airport, Mumbai, Maharashtra, 400 099, India","19 km to city centre
2.1 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs6,799",Good 7.8,Mumbai,24-02-2021,26-02-2021
5,Sofitel Mumbai BKC Hotel,"C-57, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra, 400051, India","16 km to city centre
3.6 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingPet-friendlyAirport transferSpaGym,"Rs9,600",Superb 9.0,Mumbai,24-02-2021,26-02-2021
6,Sofitel Mumbai BKC Hotel,"C-57, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra, 400051, India","16 km to city centre
3.6 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingPet-friendlyAirport transferSpaGym,"Rs9,600",Superb 9.0,Mumbai,24-02-2021,26-02-2021
7,The St. Regis Mumbai,"462 Senapati Bapat Marg, Lower Parel, Mumbai, Maharashtra, 400013, India","6.8 km to city centre
13 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingSpaGymRestaurantBar,"Rs12,000",Superb 9.2,Mumbai,24-02-2021,26-02-2021
8,Renaissance Mumbai Convention Centre Hotel,"2 & 3B, Near Chinmayanand Ashram, Powai, Mumbai, Maharashtra, 400 087, India","24 km to city centre
4.8 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs6,715",Fabulous 8.6,Mumbai,24-02-2021,26-02-2021
9,"ITC Grand Central, a Luxury Collection Hotel, Mumbai","287, Dr. Babasaheb Ambedkar Road, Parel, Mumbai, Maharashtra, 400012, India","7.4 km to city centre
12 km to Chhatrapati Shivaji International Airport (BOM)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs7,500",Superb 9.0,Mumbai,24-02-2021,26-02-2021
