,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,Eastend Munnar,"Temple Road, Devikolam, Kerala, 685612, India","0.6 km to city centre
0.3 km to Munnar Juma Masjid",Free parkingAirport transferSpaRestaurant,"Rs4,500",Exceptional 10.0,Munnar,23/02/2021,25/02/2021
1,Wild Elephant Eco-Friendly Resort,"Viripara, Kallar Mankulam Road, Devikolam, Kerala, 685611, India","0.9 km to city centre
0.1 km to Munnar Juma Masjid",PoolFree parkingRestaurant,"Rs4,600",Exceptional 10.0,Munnar,23/02/2021,25/02/2021
2,Elysium Gardens Hill Resorts,"Top Station Road, Devikolam, Kerala, 685612, India","0.5 km to city centre
0.4 km to Munnar Juma Masjid",Free parkingAirport transferRestaurant,"Rs7,499",2,Munnar,23/02/2021,25/02/2021
3,Elysium Gardens Hill Resorts,"Top Station Road, Devikolam, Kerala, 685612, India","0.5 km to city centre
0.4 km to Munnar Juma Masjid",Free parkingAirport transferRestaurant,"Rs7,499",2,Munnar,23/02/2021,25/02/2021
4,Royal Retreat,"Kannan Devan Hills, Devikolam, Kerala, 685612, India","1.1 km to city centre
2.0 km to Munnar Juma Masjid",Free parkingAirport transferRestaurant,"Rs9,333",,Munnar,23/02/2021,25/02/2021
5,Grand Plaza Munnar,"M.S.A Road Old Munnar Idukki Dt, Devikolam, Kerala, 685612, India","0.9 km to city centre
1.8 km to Munnar Juma Masjid",Free parkingAirport transferSpaGymRestaurant,"Rs7,000",Very good 8.4,Munnar,23/02/2021,25/02/2021
6,Grand Plaza Munnar,"M.S.A Road Old Munnar Idukki Dt, Devikolam, Kerala, 685612, India","0.9 km to city centre
1.8 km to Munnar Juma Masjid",Free parkingAirport transferSpaGymRestaurant,"Rs7,000",Very good 8.4,Munnar,23/02/2021,25/02/2021
7,Misty Mountain Resort,"Second Mile Junction, Pallivasal P.O, Devikolam, Kerala, 685565, India","0.5 km to city centre
1.3 km to Munnar Juma Masjid",Free parkingSpaGymRestaurantBarBathtub,"Rs6,600",Good 7.6,Munnar,23/02/2021,25/02/2021
8,Spice Jungle Resort,"Near Recreation Club, Pallivasal, Devikolam, Kerala, 685612, India","0.9 km to city centre
0.1 km to Munnar Juma Masjid",Free parkingAirport transferRestaurant,"Rs3,186",Good 7.6,Munnar,23/02/2021,25/02/2021
9,Treebo Trend Misty Garden Resorts & Spa,"Munnar Colony Rd, Pattaline, Thaalumkandam, Mankulam, Devikolam, Kerala, 685565, India","0.7 km to city centre
1.0 km to Munnar Juma Masjid",Free parkingRestaurant,"Rs4,928",5.4,Munnar,23/02/2021,25/02/2021
10,Treebo Trend Misty Garden Resorts & Spa,"Munnar Colony Rd, Pattaline, Thaalumkandam, Mankulam, Devikolam, Kerala, 685565, India","0.7 km to city centre
1.0 km to Munnar Juma Masjid",Free parkingRestaurant,"Rs4,928",5.4,Munnar,23/02/2021,25/02/2021
11,The Tall Trees Munnar,"Bison Valley Road, PB. No. 40, Devikolam, Kerala, 685612, India","0.2 km to city centre
0.7 km to Munnar Juma Masjid",Free parkingSpaRestaurantBar,"Rs14,998",Very good 8.0,Munnar,23/02/2021,25/02/2021
12,Westwood Riverside Garden Resort,"MSA Road, Devikolam, Kerala, 685612, India","0.5 km to city centre
0.5 km to Munnar Juma Masjid",,"Rs6,720",,Munnar,23/02/2021,25/02/2021
13,Treebo Trip Lumino Rainbow,"Gudalara Road, Ikka Nagar, Devikolam, 685612, India","0.5 km to city centre
0.7 km to Munnar Juma Masjid",Free parking,"Rs3,502",Good 6.0,Munnar,23/02/2021,25/02/2021
14,Jays Inn,"Mattuppetty Road, Silent Valley, Devikolam, Kerala, 685612, India","0.6 km to city centre
0.4 km to Munnar Juma Masjid",Free parking,"Rs2,598",Good 6.0,Munnar,23/02/2021,25/02/2021
15,Munnar Days,"Near Panchayat Hospital Road, Moolakkada, Devikolam, Kerala, 685612, India","0.9 km to city centre
1.7 km to Munnar Juma Masjid",Free parkingAirport transfer,"Rs3,600",,Munnar,23/02/2021,25/02/2021
16,Issacs Residency,"Mattupatty Road, Devikolam, Kerala, 685612, India","0.2 km to city centre
0.8 km to Munnar Juma Masjid",Free parkingRestaurantBarInternet access,"Rs6,938",Good 6.6,Munnar,23/02/2021,25/02/2021
17,Lumino Highrange,"Old Munnar Main road NH-49, Kochi - Madurai - Dhanushkodi Rd, Devikolam, Kerala, 685612, India","0.4 km to city centre
1.1 km to Munnar Juma Masjid",Free parkingSpa,"Rs1,920",Good 6.0,Munnar,23/02/2021,25/02/2021
18,OYO 23388 Fathima Residency,"Adimali - Mannamkala Road, Near Market Junction, Devikolam, Kerala, 685561, India","0.7 km to city centre
0.3 km to Munnar Juma Masjid",Free parkingBathtub,"Rs2,597",,Munnar,23/02/2021,25/02/2021
19,OYO 23388 Fathima Residency,"Adimali - Mannamkala Road, Near Market Junction, Devikolam, Kerala, 685561, India","0.7 km to city centre
0.3 km to Munnar Juma Masjid",Free parkingBathtub,"Rs2,597",,Munnar,23/02/2021,25/02/2021
20,Nature Zone Jungle Resort,"Pulippara, Pallivasal, Devikolam, Kerala, 685 612, India","0.9 km to city centre
0.1 km to Munnar Juma Masjid",Free parkingAirport transferRestaurant,"Rs14,000",Good 6.0,Munnar,23/02/2021,25/02/2021
21,Nature Zone Jungle Resort,"Pulippara, Pallivasal, Devikolam, Kerala, 685 612, India","0.9 km to city centre
0.1 km to Munnar Juma Masjid",Free parkingAirport transferRestaurant,"Rs14,000",Good 6.0,Munnar,23/02/2021,25/02/2021
22,Nature Zone Jungle Resort,"Pulippara, Pallivasal, Devikolam, Kerala, 685 612, India","0.9 km to city centre
0.1 km to Munnar Juma Masjid",Free parkingAirport transferRestaurant,"Rs14,000",Good 6.0,Munnar,23/02/2021,25/02/2021
23,Camellia and Elettaria,"Rathnagiri, Bison Valley, Munnar, Idukki District, Udumbanchola, Kerala, 685565, India","9.8 km to Munnar
11 km to Munnar Juma Masjid",Free parkingSpaRestaurant,"Rs7,000",Exceptional 10.0,Munnar,23/02/2021,25/02/2021
24,The Leaf Munnar Resort,"Chithirapuram PO, Amakandam - Anachal, Munnar, Devikolam, Kerala, 685565, India","8.5 km to Munnar
9.2 km to Munnar Juma Masjid",PoolFree parking,"Rs10,529",Fabulous 8.8,Munnar,23/02/2021,25/02/2021
25,"Fragrant Nature Munnar - ""A Classified Five Star Hotel""","Bison Valley Road Pothemmedu, Munnar, Devikolam, Kerala, 685612, India","3.1 km to Munnar
4.0 km to Munnar Juma Masjid",,"Rs14,000",Fabulous 8.6,Munnar,23/02/2021,25/02/2021
26,Kgees- HillTown Hotel,"Kattappana - Erattayar Rd, Udumbanchola, Kerala, 685508, India","37 km to Munnar
37 km to Munnar Juma Masjid",Free parkingAirport transferRestaurant,"Rs4,814",Exceptional 9.4,Munnar,23/02/2021,25/02/2021
27,Foggy Dreamz Munnar,"6/455-A Opposite Dreamland ET City Road, Chitrapuram PO Anachal-Munnar, Devikolam, Kerala, 685565, India","7.4 km to Munnar
8.1 km to Munnar Juma Masjid",Free parkingRestaurant,"Rs5,598",,Munnar,23/02/2021,25/02/2021
28,Foggy Dreamz Munnar,"6/455-A Opposite Dreamland ET City Road, Chitrapuram PO Anachal-Munnar, Devikolam, Kerala, 685565, India","7.4 km to Munnar
8.1 km to Munnar Juma Masjid",Free parkingRestaurant,"Rs5,598",,Munnar,23/02/2021,25/02/2021
29,goSTOPS Munnar,"Anachal Rd, Devikolam, KL, 685565, India","7.2 km to Munnar
7.8 km to Munnar Juma Masjid",Free parking,"Rs1,798",,Munnar,23/02/2021,25/02/2021
30,Elixir Hills,"Near Letchmi Tea Estate, Mankulum, Devikolam, Kerala, 685612, India","8.6 km to Munnar
8.4 km to Munnar Juma Masjid",PoolFree parkingSpaGymRestaurantBathtub,"Rs15,658",Good 7.0,Munnar,23/02/2021,25/02/2021
31,The New Munnar Summer Castle,"Eatty City, Anachal PO, Munnar, Devikolam, Kerala, 685565, India","7.9 km to Munnar
8.6 km to Munnar Juma Masjid",Free parkingRestaurant,"Rs5,998",,Munnar,23/02/2021,25/02/2021
