,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,Courtyard by Marriott Pune Hinjewadi,"S. No 19 and 20, P4 Rajiv Gandhi Infotech Park, Paud, Maharashtra, 411057, India","18 km to city centre
17 km to Pune (PNQ-Lohegaon)",Airport transferRestaurantBarInternet accessConnecting rooms availableMeeting Facilities,"Rs10,000",Superb 9.0,Pune,24-02-2021,26-02-2021
1,Doubletree By Hilton Pune - Chinchwad,"C32 Tata Motors Road, Pune, Maharashtra, 411019, India","21 km to city centre
14 km to Pune (PNQ-Lohegaon)",PoolFree parkingAirport transferSpaRestaurantBar,"Rs12,000",Exceptional 9.4,Pune,24-02-2021,26-02-2021
2,Hyatt Regency Pune & Residences,"Weikfield IT Park, Nagar Road, Pune, Maharashtra, 411014, India","14 km to city centre
2.3 km to Pune (PNQ-Lohegaon)",PoolFree parkingPet-friendlyAirport transferSpaGym,"Rs12,350",Very good 8.4,Pune,24-02-2021,26-02-2021
3,Hyatt Regency Pune & Residences,"Weikfield IT Park, Nagar Road, Pune, Maharashtra, 411014, India","14 km to city centre
2.3 km to Pune (PNQ-Lohegaon)",PoolFree parkingPet-friendlyAirport transferSpaGym,"Rs12,350",Very good 8.4,Pune,24-02-2021,26-02-2021
4,Blue Diamond - IHCL SeleQtions,"11 Koregaon Road, Pune, Maharashtra, 411001, India","10 km to city centre
5.2 km to Pune (PNQ-Lohegaon)",PoolFree parkingPet-friendlyAirport transferSpaGym,"Rs8,700",Exceptional 9.4,Pune,24-02-2021,26-02-2021
5,ibis Pune Viman Nagar Hotel,"Survey No 32 Viman Nagar Rd, Pune, Maharashtra, 411014, India","14 km to city centre
2.2 km to Pune (PNQ-Lohegaon)",Free parkingAirport transferGymRestaurantBarInternet access,"Rs3,500",Good 7.6,Pune,24-02-2021,26-02-2021
6,ibis Pune Viman Nagar Hotel,"Survey No 32 Viman Nagar Rd, Pune, Maharashtra, 411014, India","14 km to city centre
2.2 km to Pune (PNQ-Lohegaon)",Free parkingAirport transferGymRestaurantBarInternet access,"Rs3,500",Good 7.6,Pune,24-02-2021,26-02-2021
7,Sheraton Grand Pune Bund Garden Hotel,"Raja Bahadur Mill Road, Pune, Maharashtra, 411001, India","8.8 km to city centre
6.8 km to Pune (PNQ-Lohegaon)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs12,001",Superb 9.2,Pune,24-02-2021,26-02-2021
8,"The Ritz-Carlton, Pune","Golf Course Square Airport Road, Pune, Maharashtra, 411006, India","12 km to city centre
3.6 km to Pune (PNQ-Lohegaon)",PoolAirport transferSpaGymRestaurantBar,"Rs21,000",Exceptional 9.4,Pune,24-02-2021,26-02-2021
9,"The Ritz-Carlton, Pune","Golf Course Square Airport Road, Pune, Maharashtra, 411006, India","12 km to city centre
3.6 km to Pune (PNQ-Lohegaon)",PoolAirport transferSpaGymRestaurantBar,"Rs21,000",Exceptional 9.4,Pune,24-02-2021,26-02-2021
10,Novotel Pune Viman Nagar Hotel,"Weikfield IT City Infopark, Ramwadi, Survey No 30/3, Viman Nagar, Pune, Maharashtra, 411014, India","14 km to city centre
2.2 km to Pune (PNQ-Lohegaon)",PoolFree parkingAirport transferGymRestaurantBar,"Rs5,280",Good 7.6,Pune,24-02-2021,26-02-2021
