,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,Hotel Stay Casa,"Bhojpur club, Infront of Metro Plaza, Bhopal, Madhya Pradesh, 462016, India","3.4 km to city centre
1.0 km to Habibganj Railway Station",PoolFree parkingAirport transferRestaurantBar,"Rs25,896",Exceptional 10.0,Bhopal,24/02/2021,03/03/2021
1,Hotel Tilak,"R 85 Obedulla Ganj Rd, Bhopal, MP, 462011, India","3.4 km to city centre
0.7 km to Habibganj Railway Station",Free parkingRestaurant,"Rs15,050",,Bhopal,24/02/2021,03/03/2021
2,Citrus Prime Bhopal by OTHPL,"Near Rajpal Toyota, Hoshangabad Road, Bhopal, 462004, India","9.6 km to city centre
6.4 km to Habibganj Railway Station",PoolFree parkingGymRestaurant,"Rs34,048",,Bhopal,24/02/2021,03/03/2021
3,Hotel Jalsa,"233, Near Arya Bhawan, MP Nagar, Zone-II, Bhopal, Madhya Pradesh, 462016, India","3.1 km to city centre
1.0 km to Habibganj Railway Station",Free parkingAirport transferRestaurant,"Rs11,813",,Bhopal,24/02/2021,03/03/2021
4,Jehan Numa Palace Hotel,"157, Shamla Hill, Bhopal, Madhya Pradesh, 462013, India","2.0 km to city centre
5.7 km to Habibganj Railway Station",PoolFree parkingAirport transferSpaGymRestaurant,"Rs44,100",Superb 9.2,Bhopal,24/02/2021,03/03/2021
5,Jehan Numa Palace Hotel,"157, Shamla Hill, Bhopal, Madhya Pradesh, 462013, India","2.0 km to city centre
5.7 km to Habibganj Railway Station",PoolFree parkingAirport transferSpaGymRestaurant,"Rs44,100",Superb 9.2,Bhopal,24/02/2021,03/03/2021
6,Hotel Rajhans Abhinandan,"11 mile chaan, Hoshangabad Road, Opp. Sahara Estate, Bhopal, Madhya Pradesh, 462047, India","14 km to city centre
10 km to Habibganj Railway Station",Free parkingRestaurant,"Rs28,000",,Bhopal,24/02/2021,03/03/2021
7,Hotel Pathik,"Adjoining sangam cineplex hamdia road, Main, Railway Station Rd, Bhopal, Madhya Pradesh, 462001, India","2.9 km to city centre
5.4 km to Habibganj Railway Station",Free parking,"Rs70,000",,Bhopal,24/02/2021,03/03/2021
8,Hotel Aditya Residency,"113, Near City Hospital, Zone-2, Maharana Pratap Nagar, Bhopal, Madhya Pradesh, 462011, India","3.2 km to city centre
1.0 km to Habibganj Railway Station",Free parkingRestaurant,"Rs21,403",,Bhopal,24/02/2021,03/03/2021
9,Hotel Aditya Residency,"113, Near City Hospital, Zone-2, Maharana Pratap Nagar, Bhopal, Madhya Pradesh, 462011, India","3.2 km to city centre
1.0 km to Habibganj Railway Station",Free parkingRestaurant,"Rs21,403",,Bhopal,24/02/2021,03/03/2021
10,Stay Inn,"HIG-34 Shivaji Nagar, near Jain Mandir, Opp. MP Nagar, Zone II, Bhopal, Madhya Pradesh, 462016, India","3.2 km to city centre
0.7 km to Habibganj Railway Station",PoolFree parking,"Rs12,383",,Bhopal,24/02/2021,03/03/2021
11,Hotel Amer Greens,"Hotel Amer Greens,Hoshangabad Road, Near Gyan Ganga School, Bhopal, Madhya Pradesh, 462026, India","14 km to city centre
11 km to Habibganj Railway Station",Free parking,"Rs140,000",,Bhopal,24/02/2021,03/03/2021
12,TGI Insignia,"398/400/402/404, Ganesh Nagar Colony, Hoshangabad Roa, Near Ashima Mall, Bhopal, Madhya Pradesh, 462026, India","8.1 km to city centre
4.9 km to Habibganj Railway Station",Free parkingRestaurant,"Rs26,454",,Bhopal,24/02/2021,03/03/2021
13,Hotel Smart Room By Shree Vatika,"1, Soma Vihar Colony, behind Sun Villas, Chuna Bhatti, Bhopal, 462016, India","4.4 km to city centre
3.7 km to Habibganj Railway Station",Free parking,"Rs17,913",,Bhopal,24/02/2021,03/03/2021
14,Hotel Vigya Shree,"Hig 20 Shivaji Nagar, Behind Hotel Motel Shiraz, Bhopal, Madhya Pradesh, 462001, India","2.7 km to city centre
1.2 km to Habibganj Railway Station",Free parkingBathtub,"Rs16,800",,Bhopal,24/02/2021,03/03/2021
15,Hotel Sudarshan Palace,"155, zone2 ,M P. Nagar, Behind sargam talkies, Bhopal, 462016, India","3.4 km to city centre
0.7 km to Habibganj Railway Station",Free parking,"Rs22,841",,Bhopal,24/02/2021,03/03/2021
16,Sudarshan City Walk,"5th floor, city walk mall, Indore road, Lalghati, Bhopal, 462030, India","6.3 km to city centre
10 km to Habibganj Railway Station",Free parkingRestaurant,"Rs21,000",,Bhopal,24/02/2021,03/03/2021
17,Hotel Shubh Inn,"E-2/13 Arera Colony, Opposite Habibganj Railway Station, Bhopal, Madhay Pradesh, 462016, India","3.8 km to city centre
0.2 km to Habibganj Railway Station",Free parkingAirport transferRestaurantBar,"Rs22,053",Exceptional 10.0,Bhopal,24/02/2021,03/03/2021
18,Noor-Us-Sabah Palace,"VIP Road, Koh-E-Fiza, Bhopal, Madhya Pradesh, 462001, India","5.2 km to city centre
8.9 km to Habibganj Railway Station",PoolFree parkingSpaGymRestaurant,"Rs45,800",Superb 9.2,Bhopal,24/02/2021,03/03/2021
19,Hotel Orchid Inn,"E4/61 Arera colony, Opp. Metro Walk,, Bittan Market Bhopal, Bhopal, MP, 462016, India","3.5 km to city centre
1.0 km to Habibganj Railway Station",Free parkingAirport transferRestaurant,"Rs14,235",,Bhopal,24/02/2021,03/03/2021
20,Hotel Orchid Inn,"E4/61 Arera colony, Opp. Metro Walk,, Bittan Market Bhopal, Bhopal, MP, 462016, India","3.5 km to city centre
1.0 km to Habibganj Railway Station",Free parkingAirport transferRestaurant,"Rs14,235",,Bhopal,24/02/2021,03/03/2021
21,Hotel Brij Palace,"69 Main Road,, New Market,Malviya Nagar, Bhopal, 462003, India","0.4 km to city centre
3.9 km to Habibganj Railway Station",Free parking,"Rs9,793",,Bhopal,24/02/2021,03/03/2021
22,Park Hotel,"Park hotel , Rang Mahal Tower,, rangmahal cinema TT Nagar, Bhopal, 462003, India","0.7 km to city centre
4.4 km to Habibganj Railway Station",Free parking,"Rs9,093",,Bhopal,24/02/2021,03/03/2021
23,Hotel Abhinav Royal,"438/2 Jatkhedi Rd, Near Vrandavan Garden, Hoshangabad Road Bhopal (M.P.), Bhopal, Madhya Pradesh, 462011, India","8.7 km to city centre
5.4 km to Habibganj Railway Station",Free parkingRestaurant,"Rs10,143",,Bhopal,24/02/2021,03/03/2021
24,OYO 28691 Hotel Golden Star,"Near Aura Mall, E-8, Trilanga Colony, Bhopal, Madhya Pradesh, 462016, India","5.5 km to city centre
3.4 km to Habibganj Railway Station",Bathtub,"Rs7,588",,Bhopal,24/02/2021,03/03/2021
25,Hotel Shree Vatika,"R-51 Zone 1, Near Chetak Bridge, Bhopal, 462011, India","3.1 km to city centre
1.4 km to Habibganj Railway Station",Free parking,"Rs18,059",,Bhopal,24/02/2021,03/03/2021
26,Hotel Vasundhara,"Hoshangabad Road, Near Sriram Colony, Bhopal, Madhya Pradesh, 462024, India","9.2 km to city centre
6.0 km to Habibganj Railway Station",Free parking,"Rs7,806",,Bhopal,24/02/2021,03/03/2021
27,OYO 28247 Hotel SMR Palace,"1, Near Dps Public School, Neelbad, Bhadhbhada Road, Bhopal, Madhya Pradesh, 462044, India","7.1 km to city centre
9.5 km to Habibganj Railway Station",KitchenBathtub,"Rs66,072",,Bhopal,24/02/2021,03/03/2021
28,Hotel Shree Vinayak Palace,"Plot No. 37, Zone-II, Bhopal, Madhya Pradesh, 462011, India","3.2 km to city centre
1.0 km to Habibganj Railway Station",Free parkingRestaurant,"Rs16,093",,Bhopal,24/02/2021,03/03/2021
29,OYO 24646 Hotel Gaurav Palace,"15, Ram Gopal Maheshwari Marg, Mp Nagar Zone-I, Maharana Pratap Nagar, Bhopal, Madhya Pradesh, 462011, India","2.8 km to city centre
1.4 km to Habibganj Railway Station",Free parkingRestaurantBathtub,"Rs12,840",,Bhopal,24/02/2021,03/03/2021
30,Hotel K C Palace,"38- Behind Pragati Petrol Pump, M P Nagar Zone II Bhopal, Bhopal, Madhya Pradesh, 462011, India","3.3 km to city centre
1.0 km to Habibganj Railway Station",Free parkingRestaurant,"Rs19,600",,Bhopal,24/02/2021,03/03/2021
