,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,OYO 4856 Hotel The Benz,"SCO 26,27, Industrial Area, Phase 9, Mohali, Kharar, 160062, India","7.4 km to city centre
4.6 km to Chandigarh (IXC)",Free parking,"Rs20,060",,Chandigarh,24/02/2021,06/03/2021
1,Welcomhotel Bella Vista Chandigarh Panchkula – Member ITC Hotel Group,"SM-8, City Center, Sector-5, Panchkula, Haryana, 134109, India","9.2 km to city centre
7.4 km to Chandigarh (IXC)",PoolFree parkingSpaGymRestaurantBar,"Rs47,566",Very good 8.0,Chandigarh,24/02/2021,06/03/2021
2,Hotel KLG Starlite,"Plot no. 51, Industrial & Business Park, Phase II, Tribune Chowk, Chandigarh, Punjab, 160002, India","3.9 km to city centre
2.7 km to Chandigarh (IXC)",Free parkingGymRestaurantBar,"Rs31,496",Good 7.4,Chandigarh,24/02/2021,06/03/2021
3,Hotel KLG Starlite,"Plot no. 51, Industrial & Business Park, Phase II, Tribune Chowk, Chandigarh, Punjab, 160002, India","3.9 km to city centre
2.7 km to Chandigarh (IXC)",Free parkingGymRestaurantBar,"Rs31,496",Good 7.4,Chandigarh,24/02/2021,06/03/2021
4,ANA Clarks INN Panchkula,"NH 22 Mall Amravati Enclave, Kalka Shimla Highway, Panchkula, Haryana, 134107, India","13 km to city centre
14 km to Chandigarh (IXC)",Free parkingRestaurantBar,"Rs38,838",Good 7.6,Chandigarh,24/02/2021,06/03/2021
5,The Altius A Boutique Hotel,"25-9 Industrial Area Phase II, Chandigarh, Punjab, 160002, India","4.0 km to city centre
2.7 km to Chandigarh (IXC)",Free parkingRestaurantBar,"Rs38,450",4.6,Chandigarh,24/02/2021,06/03/2021
6,The Altius A Boutique Hotel,"25-9 Industrial Area Phase II, Chandigarh, Punjab, 160002, India","4.0 km to city centre
2.7 km to Chandigarh (IXC)",Free parkingRestaurantBar,"Rs38,450",4.6,Chandigarh,24/02/2021,06/03/2021
7,OYO 28575 Hotel J&B,"Bhabat Road, Zirakpur, Zirakpur, Punjab, 140603, India","9.6 km to city centre
3.7 km to Chandigarh (IXC)",Free parkingBathtub,"Rs18,568",,Chandigarh,24/02/2021,06/03/2021
8,Hotel Midway,"Sco 2 near J.P. Hospital, Zirakpur, Punjab, 140603, India","8.9 km to city centre
3.1 km to Chandigarh (IXC)",Free parking,"Rs500,000",,Chandigarh,24/02/2021,06/03/2021
9,4 By Oyo Zirakpur,"Ambala Chandigarh Expy, Zirakpur, PB, 140603, India","12 km to city centre
5.3 km to Chandigarh (IXC)",PoolFree parkingGym,"Rs36,971",Exceptional 10.0,Chandigarh,24/02/2021,06/03/2021
10,4 By Oyo Zirakpur,"Ambala Chandigarh Expy, Zirakpur, PB, 140603, India","12 km to city centre
5.3 km to Chandigarh (IXC)",PoolFree parkingGym,"Rs36,971",Exceptional 10.0,Chandigarh,24/02/2021,06/03/2021
11,Hyatt Regency Chandigarh,"178 Industrial and Business Park, Phase I, Chandigarh, 160002, India","4.1 km to city centre
3.3 km to Chandigarh (IXC)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs76,500",Fabulous 8.6,Chandigarh,24/02/2021,06/03/2021
12,Hotel Almeida,"NH21, Chandigarh Amabala Highway, Chandigarh Ambala Highway, Zirakpur, Punjab, 140603, India","8.4 km to city centre
2.7 km to Chandigarh (IXC)",PoolFree parkingSpaRestaurantBar,"Rs37,800",,Chandigarh,24/02/2021,06/03/2021
13,Hotel SKA Hometel,"Shop No. 4, Nada Road, Near Committee Office & Water Tank, Chandigarh, Punjab, 160103, India","5.2 km to city centre
11 km to Chandigarh (IXC)",Free parking,"Rs8,000",Exceptional 10.0,Chandigarh,24/02/2021,06/03/2021
