,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,Hotel Sohi Residency,"8/25, W.E.A., Karol Bagh, New Delhi, Delhi N.C.R, 110005, India","3.4 km to city centre
14 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferGym,"Rs23,773",Very good 8.0,Delhi,24/02/2021,06/03/2021
1,Hotel Blue Stone - Nehru Place,"CC-24, Nehru Enclave, Opp. Paras Cinema, Nehru Place, New Delhi, Delhi, 110019, India","10 km to city centre
16 km to Indira Gandhi International Airport (DEL)",Free parkingRestaurant,"Rs17,108",Good 7.6,Delhi,24/02/2021,06/03/2021
2,"Eros Hotel New Delhi, Nehru Place","Nehru Place, New Delhi, 110019, India","9.7 km to city centre
16 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferRestaurantBarBathtub,"Rs36,392",Good 7.4,Delhi,24/02/2021,06/03/2021
3,"Eros Hotel New Delhi, Nehru Place","Nehru Place, New Delhi, 110019, India","9.7 km to city centre
16 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferRestaurantBarBathtub,"Rs36,392",Good 7.4,Delhi,24/02/2021,06/03/2021
4,Hotel Sunstar Grand,"7A/17, W.E.A., Channa Market, Karol Bagh, New Delhi, Delhi N.C.R, 110005, India","3.8 km to city centre
14 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferRestaurant,"Rs13,500",Good 7.6,Delhi,24/02/2021,06/03/2021
5,Hotel New Frontier,"1649, S P Mukherjee Marg, Delhi, near old delhi railway station, New Delhi, Delhi, 110006, India","3.2 km to city centre
18 km to Indira Gandhi International Airport (DEL)",Parking availableRestaurant,"Rs16,950",2,Delhi,24/02/2021,06/03/2021
6,Hotel New Frontier,"1649, S P Mukherjee Marg, Delhi, near old delhi railway station, New Delhi, Delhi, 110006, India","3.2 km to city centre
18 km to Indira Gandhi International Airport (DEL)",Parking availableRestaurant,"Rs16,950",2,Delhi,24/02/2021,06/03/2021
7,OYO 11403 Hotel Daffodils,"105, B-105, Gurugram, India","26 km to city centre
13 km to Indira Gandhi International Airport (DEL)",Free parkingRestaurantBathtub,"Rs18,864",,Delhi,24/02/2021,06/03/2021
8,Hotel Smart Plaza,"191 , Road No. 4, Street No. 9, Mahipalpur, New Delhi, Delhi, 110037, India","13 km to city centre
3.9 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transfer,"Rs16,250",2,Delhi,24/02/2021,06/03/2021
9,Eternity,"B-40, Vishal Enclave, Rajouri Garden, New Delhi, Delhi N.C.R, 110027, India","10 km to city centre
11 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferRestaurantInternet access,"Rs22,755",5,Delhi,24/02/2021,06/03/2021
10,Eternity,"B-40, Vishal Enclave, Rajouri Garden, New Delhi, Delhi N.C.R, 110027, India","10 km to city centre
11 km to Indira Gandhi International Airport (DEL)",Free parkingAirport transferRestaurantInternet access,"Rs22,755",5,Delhi,24/02/2021,06/03/2021
11,ADB Rooms Gaurav Guest House,"9201/4,Multani Dhanda, Paharganj, New Delhi, DL, 110055, India","1.9 km to city centre
16 km to Indira Gandhi International Airport (DEL)",Bathtub,"Rs16,000",,Delhi,24/02/2021,06/03/2021
12,The Suryaa New Delhi,"New Friends Colony, New Delhi, Delhi N.C.R, 110025, India","9.4 km to city centre
18 km to Indira Gandhi International Airport (DEL)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs38,400",Good 7.0,Delhi,24/02/2021,06/03/2021
