,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,Rajputana Diaries,"Sawai Jai Singh Hwy, Jaipur, RJ, 302016, India","5.9 km to city centre
1.9 km to M.I. Road",Free parkingRestaurant,"Rs6,997",,Jaipur,24/02/2021,03/03/2021
1,Jaipur Marriott Hotel,"Ashram Marg Near Jawahar Circle, Tonk Road, Jaipur, Rajasthan, 302015, India","7.5 km to city centre
8.5 km to M.I. Road",PoolFree parkingAirport transferSpaGymRestaurant,"Rs45,749",Fabulous 8.6,Jaipur,24/02/2021,03/03/2021
2,Doubletree by Hilton Jaipur Amer,"935 Kukas Delhi Road, Jamwa Ramgarh, Rajasthan, 302028, India","23 km to city centre
17 km to M.I. Road",PoolFree parkingAirport transferGymRestaurantBar,"Rs31,500",,Jaipur,24/02/2021,03/03/2021
3,Doubletree by Hilton Jaipur Amer,"935 Kukas Delhi Road, Jamwa Ramgarh, Rajasthan, 302028, India","23 km to city centre
17 km to M.I. Road",PoolFree parkingAirport transferGymRestaurantBar,"Rs31,500",,Jaipur,24/02/2021,03/03/2021
4,Hotel New Rockwell,"A 24, Hem Marg, Opp Metro Pillar no 98, Behind Reliance Fresh, New Sanganer Road, Jaipur, Rajasthan, 302019, India","2.3 km to city centre
4.7 km to M.I. Road",Free parkingRestaurantBar,"Rs5,681",,Jaipur,24/02/2021,03/03/2021
5,Radisson Blu Jaipur,"Plot No 5 & 6 Airport Plaza, Tonk Road, Jaipur, Rajasthan, 302018, India","7.2 km to city centre
8.4 km to M.I. Road",PoolFree parkingAirport transferSpaGymRestaurant,"Rs27,993",Good 7.8,Jaipur,24/02/2021,03/03/2021
6,Radisson Blu Jaipur,"Plot No 5 & 6 Airport Plaza, Tonk Road, Jaipur, Rajasthan, 302018, India","7.2 km to city centre
8.4 km to M.I. Road",PoolFree parkingAirport transferSpaGymRestaurant,"Rs27,993",Good 7.8,Jaipur,24/02/2021,03/03/2021
7,Jasoda Heritage by Keshav Global Hotels,"Rochees Marg, J.D.A. Market, Behind Kale Ke Hanuman Ji Temple, Jaipur, Rajasthan, 302002, India","9.2 km to city centre
2.6 km to M.I. Road",Free parkingRestaurantBar,"Rs8,457",,Jaipur,24/02/2021,03/03/2021
8,Hotel Triveni Residency,"Plot No 1, Satya Vihar Colony, Near Vidhansabha, Lalkothi, Jaipur, Rajasthan, 302015, India","5.3 km to city centre
2.9 km to M.I. Road",Parking availableAirport transfer,"Rs8,202",,Jaipur,24/02/2021,03/03/2021
9,Hotel Avana,"Queens Road, Vaishali Nagar, Jaipur, Rajasthan, 302012, India","1.7 km to city centre
5.5 km to M.I. Road",Free parkingRestaurantBar,"Rs10,402",,Jaipur,24/02/2021,03/03/2021
10,RUDRA VILAS - A Royal Heritage Hotel,"Plot No.1, Shiv Vatika, Rajawat Farms, New Sanganer Rd, Mansarovar, Jaipur, Rajasthan, 302020, India","6.8 km to city centre
10 km to M.I. Road",Free parkingRestaurant,"Rs14,112",,Jaipur,24/02/2021,03/03/2021
11,The Fern - An Ecotel Hotel Jaipur,"3, Airport Plaza , Nr.Durgapura, Tonk Road, Jaipur, Rajasthan, 3020018, India","7.2 km to city centre
8.4 km to M.I. Road",PoolFree parkingAirport transferSpaRestaurantBar,"Rs18,520",Good 7.8,Jaipur,24/02/2021,03/03/2021
12,The Fern - An Ecotel Hotel Jaipur,"3, Airport Plaza , Nr.Durgapura, Tonk Road, Jaipur, Rajasthan, 3020018, India","7.2 km to city centre
8.4 km to M.I. Road",PoolFree parkingAirport transferSpaRestaurantBar,"Rs18,520",Good 7.8,Jaipur,24/02/2021,03/03/2021
13,Jaipur Hotel New,"07- Film Colony, Jaipur, Rajasthan, 302002, India","7.9 km to city centre
1.4 km to M.I. Road",Free parkingAirport transferSpaRestaurant,"Rs9,388",Superb 9.0,Jaipur,24/02/2021,03/03/2021
14,"Devi Ratn, Jaipur -IHCL SeleQtions","Jamdoli, Agra Road, Tehsil Ballupura, Jaipur, Rajasthan, 302031, India","14 km to city centre
7.4 km to M.I. Road",PoolFree parkingPet-friendlyAirport transferGymRestaurant,"Rs58,000",Very good 8.0,Jaipur,24/02/2021,03/03/2021
15,Golden Eagle Hotels & Resorts,"200 Feet Bypass Road, 3, 4, 5A, B, Ajmer Rd, Flyover, Patel Nagar, Jaipur, Rajasthan, 302034, India","1.6 km to city centre
8.2 km to M.I. Road",PoolFree parkingSpaRestaurantBar,"Rs9,176",Good 6.6,Jaipur,24/02/2021,03/03/2021
