,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,"ITC Royal Bengal, a Luxury Collection Hotel, Kolkata","1 JBS Haldane Avenue, Kolkata, West Bengal, 700046, India","4.6 km to city centre
4.9 km to New Market",PoolFree parkingAirport transferSpaGymRestaurant,"Rs42,000",Fabulous 8.6,Kolkata,24/02/2021,03/03/2021
1,JW Marriott Hotel Kolkata,"4A, J.B.S. Haldane Avenue, Kolkata, West Bengal, 700105, India","4.7 km to city centre
5.0 km to New Market",PoolFree parkingSpaGymRestaurantBar,"Rs43,500",Superb 9.0,Kolkata,24/02/2021,03/03/2021
2,Fairfield by Marriott Kolkata,"CB 218 Action Area 1C New Town, Kolkata, West Bengal, 700156, India","11 km to city centre
12 km to New Market",PoolFree parkingAirport transferGymRestaurantConnecting rooms available,"Rs16,800",Exceptional 9.6,Kolkata,24/02/2021,03/03/2021
3,Fairfield by Marriott Kolkata,"CB 218 Action Area 1C New Town, Kolkata, West Bengal, 700156, India","11 km to city centre
12 km to New Market",PoolFree parkingAirport transferGymRestaurantConnecting rooms available,"Rs16,800",Exceptional 9.6,Kolkata,24/02/2021,03/03/2021
4,Novotel Kolkata Hotel & Residences Hotel,"CF11 Action Area 1C, New Town Rajarhat, Kolkata, West Bengal, 700156, India","10 km to city centre
11 km to New Market",Free parkingPet-friendlyAirport transferSpaGymRestaurant,"Rs26,160",Very good 8.0,Kolkata,24/02/2021,03/03/2021
5,The Fern Residency Kolkata,"204, Main Arterial Road Noapara, Rajarhat, New Town Opp CityCentr II, Kolkata, 7000157, India","11 km to city centre
12 km to New Market",Free parkingAirport transferGymRestaurant,"Rs25,434",Good 6.0,Kolkata,24/02/2021,03/03/2021
6,The Fern Residency Kolkata,"204, Main Arterial Road Noapara, Rajarhat, New Town Opp CityCentr II, Kolkata, 7000157, India","11 km to city centre
12 km to New Market",Free parkingAirport transferGymRestaurant,"Rs25,434",Good 6.0,Kolkata,24/02/2021,03/03/2021
7,"ITC Sonar, a Luxury Collection Hotel, Kolkata","JBS Haldene Avenue, (Opp. Science City), Kolkata, West Bengal, 700046, India","4.7 km to city centre
4.9 km to New Market",Free parkingSpaGymRestaurantBarBathtub,"Rs31,993",Fabulous 8.6,Kolkata,24/02/2021,03/03/2021
8,Fairfield by Marriott Kolkata,"CB 218 Action Area 1C New Town, Kolkata, West Bengal, 700156, India","11 km to city centre
12 km to New Market",PoolFree parkingAirport transferGymRestaurantConnecting rooms available,"Rs16,800",Exceptional 9.6,Kolkata,24/02/2021,03/03/2021
9,Vivanta Kolkata EM Bypass,"1930 Rajdanga Main Road, Kolkata, West Bengal, 700107, India","7.6 km to city centre
7.3 km to New Market",PoolFree parkingAirport transferGymRestaurantBar,"Rs25,700",Very good 8.2,Kolkata,24/02/2021,03/03/2021
10,"The Oberoi Grand, Kolkata","15 Jawaharlal Nehru Road, Kolkata, West Bengal, 700 013, India","1.4 km to city centre
0.2 km to New Market",PoolFree parkingAirport transferSpaGymRestaurant,"Rs42,000",Exceptional 9.6,Kolkata,24/02/2021,03/03/2021
