,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,Hotel Royal Palace,"Kasol Manikaran District, Kullu, Himachal Pradesh, 175002, India","6.3 km to city centre
0.4 km to Chalal Trek Trail",Free parkingRestaurant,"Rs28,000",,Kullu,24/02/2021,03/03/2021
1,Hotel Amit,"Near Kullu-Manali Airport, Sainik Chowk, Bhuntar, Kullu, Himachal Pradesh, 175125, India","25 km to city centre
21 km to Chalal Trek Trail",Free parkingPet-friendlyRestaurant,"Rs9,800",,Kullu,24/02/2021,03/03/2021
2,OYO 19767 Hotel Naman,"Akhara Bazaar, Kullu, Himachal Pradesh, 175101, India","25 km to city centre
19 km to Chalal Trek Trail",Bathtub,"Rs66,072",,Kullu,24/02/2021,03/03/2021
3,Hotel Shobla Royale,"Hotel Shobla Royale Near Dhalpur, Hotel Shobla Royale Near Dhalpu, Kullu, HP, 175101, India","26 km to city centre
20 km to Chalal Trek Trail",Free parkingRestaurantBar,"Rs31,651",,Kullu,24/02/2021,03/03/2021
4,Apple Valley Resort,"on national highway, village Mohal, Kullu, Himachal Pradesh, 175126, India","25 km to city centre
21 km to Chalal Trek Trail",PoolFree parkingAirport transferGymRestaurantBar,"Rs32,445",Exceptional 10.0,Kullu,24/02/2021,03/03/2021
5,Apple Valley Resort,"on national highway, village Mohal, Kullu, Himachal Pradesh, 175126, India","25 km to city centre
21 km to Chalal Trek Trail",PoolFree parkingAirport transferGymRestaurantBar,"Rs32,445",Exceptional 10.0,Kullu,24/02/2021,03/03/2021
6,Pine Wood Inn Tosh,"Village Tosh, PO Kasol, Kullu, Himachal Pradesh, 175105, India","7.6 km to city centre
13 km to Chalal Trek Trail",Free parkingRestaurant,"Rs14,000",2,Kullu,24/02/2021,03/03/2021
7,The Rainbow Inn & Cafe,"New Kasol, Near Bus Stop, Kullu, Himachal Pradesh, 175105, India","6.2 km to city centre
0.4 km to Chalal Trek Trail",Free parkingPet-friendlySpaRestaurantBarBathtub,"Rs23,310",,Kullu,24/02/2021,03/03/2021
8,Hotel The Nest,"Kullu, Himachal Pradesh,, Near Main Bus Stand, Sarwari Bazar Kullu, Kullu, Himachal Pradesh, 175101, India","26 km to city centre
20 km to Chalal Trek Trail",Free parkingRestaurant,"Rs350,000",,Kullu,24/02/2021,03/03/2021
9,Hotel The Nest,"Kullu, Himachal Pradesh,, Near Main Bus Stand, Sarwari Bazar Kullu, Kullu, Himachal Pradesh, 175101, India","26 km to city centre
20 km to Chalal Trek Trail",Free parkingRestaurant,"Rs350,000",,Kullu,24/02/2021,03/03/2021
