,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,Himalayan Apple Zone Hotel,"Manali, Distt. Kullu (H.P.), Manali, Distt. Kullu (H.P.), Manali, HP, 175103, India","0.2 km to Mall Road
8.5 km to Solang Valley",Free parkingRestaurantKitchen,"Rs20,000",,Manali,24/02/2021,06/03/2021
1,Hotel Mountain Face by Snow City Hotels,"Near Mahindra Show Room Prini, Manali, Himachal Pradesh, 175143, India","2.4 km to Mall Road
11 km to Solang Valley",Free parkingRestaurant,"Rs19,250",Exceptional 10.0,Manali,24/02/2021,06/03/2021
2,Hotel Devlok,"Hadimba Road, Manali, Himachal Pradesh, 175131, India","0.9 km to Mall Road
7.5 km to Solang Valley",Free parkingAirport transferRestaurantBathtubConnecting rooms available,"Rs65,821",Exceptional 9.4,Manali,24/02/2021,06/03/2021
3,Hotel Amit,"Near Kullu-Manali Airport, Sainik Chowk, Bhuntar, Kullu, Himachal Pradesh, 175125, India","40 km to Mall Road
48 km to Solang Valley",Free parkingPet-friendlyRestaurant,"Rs14,000",,Manali,24/02/2021,06/03/2021
4,Utopia Resorts & Spa,"Near Hadimba Temple, Manali, 175131, India","0.9 km to Mall Road
7.5 km to Solang Valley",PoolFree parkingAirport transferSpaRestaurant,"Rs17,500",Exceptional 10.0,Manali,24/02/2021,06/03/2021
5,Utopia Resorts & Spa,"Near Hadimba Temple, Manali, 175131, India","0.9 km to Mall Road
7.5 km to Solang Valley",PoolFree parkingAirport transferSpaRestaurant,"Rs17,500",Exceptional 10.0,Manali,24/02/2021,06/03/2021
6,Armaan Resorts,"Naggar Road, Manali, Himachal Pradesh, 175131, India","3.5 km to Mall Road
12 km to Solang Valley",Free parkingGymRestaurantBarBathtub,"Rs40,650",4,Manali,24/02/2021,06/03/2021
7,Urvashi's Retreat,"Shanag Road, P.O. Bahang, Manali, Himachal Pradesh, 175103, India","5.1 km to Mall Road
3.3 km to Solang Valley",PoolFree parkingPet-friendlyAirport transferSpaGym,"Rs50,000",Exceptional 10.0,Manali,24/02/2021,06/03/2021
8,OYO 12859 Valley View Cottage,"Kanyal Rd, Gadherni Village, Manali, Himachal Pradesh, 175131, India","3.1 km to Mall Road
11 km to Solang Valley",Free parkingRestaurantBathtub,"Rs111,378",,Manali,24/02/2021,06/03/2021
9,OYO 12859 Valley View Cottage,"Kanyal Rd, Gadherni Village, Manali, Himachal Pradesh, 175131, India","3.1 km to Mall Road
11 km to Solang Valley",Free parkingRestaurantBathtub,"Rs111,378",,Manali,24/02/2021,06/03/2021
