,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,Le Meridien Nagpur,"Wardha Road, Nagpur, Maharashtra, 441108, India","4.9 km to city centre
5.2 km to Nagpur (NAG-Dr. Ambedkar Intl.)",PoolAirport transferGymRestaurantBarBathtub,"Rs9,798",Good 7.8,Nagpur,24/02/2021,25/02/2021
1,Radisson Blu Hotel Nagpur,"7 Wardha Road, Nagpur, Maharashtra, 440015, India","12 km to city centre
2.5 km to Nagpur (NAG-Dr. Ambedkar Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs14,000",Fabulous 8.6,Nagpur,24/02/2021,25/02/2021
2,Treebo Trend Orient Grand,"Plot No. 347/348, Great Nag Road, Padole Corner,Ashok Chowk, Untkhana, Nagpur, Maharashtra, 440009, India","16 km to city centre
7.3 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingRestaurant,"Rs3,270",4,Nagpur,24/02/2021,25/02/2021
3,Hotel Hardeo,"Dr.Munje Marg, Sitabuldi, Nagpur, MAHARASTRA, 440012, India","16 km to city centre
6.7 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingRestaurantBar,"Rs6,784",4,Nagpur,24/02/2021,25/02/2021
4,The Pride Hotel Nagpur,"Opp Airport Wardha Road, Nagpur, Maharashtra, 440025, India","10 km to city centre
1.2 km to Nagpur (NAG-Dr. Ambedkar Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs7,997",Good 6.6,Nagpur,24/02/2021,25/02/2021
5,The Pride Hotel Nagpur,"Opp Airport Wardha Road, Nagpur, Maharashtra, 440025, India","10 km to city centre
1.2 km to Nagpur (NAG-Dr. Ambedkar Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs7,997",Good 6.6,Nagpur,24/02/2021,25/02/2021
6,Hotel Seventh Sense,"Variety Square, Near Eternity Amill, Nagpur, Maharashtra, 440010, India","16 km to city centre
6.6 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingAirport transferRestaurantMeeting Facilities,"Rs6,000",4.6,Nagpur,24/02/2021,25/02/2021
7,Tuli Imperial,"37, Farmland, Central Bazaar Road, Ramdaspeth, Nagpur, Maharashtra, 440010, India","18 km to city centre
8.2 km to Nagpur (NAG-Dr. Ambedkar Intl.)",PoolFree parkingAirport transferGymRestaurantBar,"Rs11,000",Very good 8.0,Nagpur,24/02/2021,25/02/2021
8,JK Rooms 103 Loharkars Hotel,"135, Lendrapark, Near Central Mall, East High Court Road, Ramdaspeth, Nagpur, Maharashtra, 440010, India","15 km to city centre
5.4 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingGym,"Rs4,900",Exceptional 10.0,Nagpur,24/02/2021,25/02/2021
9,Hotel Flora Inn,"Plot No.2164 Somalwada Besa Road Satpute, Near Mahatme Eye Hospital, Rajiv Nagar, Nagpur, Maharashtra, 440025, India","12 km to city centre
1.9 km to Nagpur (NAG-Dr. Ambedkar Intl.)",,"Rs3,798",,Nagpur,24/02/2021,25/02/2021
10,Hotel Flora Inn,"Plot No.2164 Somalwada Besa Road Satpute, Near Mahatme Eye Hospital, Rajiv Nagar, Nagpur, Maharashtra, 440025, India","12 km to city centre
1.9 km to Nagpur (NAG-Dr. Ambedkar Intl.)",,"Rs3,798",,Nagpur,24/02/2021,25/02/2021
11,Treebo Trip Hotel Aditya,"Ambazari Road Opp. Dharampeth School, Vazalwar Colony, Nagpur, 440010, India","16 km to city centre
5.7 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parking,"Rs3,476",,Nagpur,24/02/2021,25/02/2021
12,HOTEL VRANDAVAN,"NEAR RAILWAY STATION, COTTON MARKET SQUARE NEAR VIJAY TALKIES, Nagpur, 440018, India","18 km to city centre
7.8 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parking,"Rs6,400",,Nagpur,24/02/2021,25/02/2021
13,Hotel Brijinn,"Near S.t. Bus Stand, Adjacent To Khurana Travels, Nagpur, Maharashtra, 440018, India","17 km to city centre
7.3 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingSpaRestaurant,"Rs7,000",,Nagpur,24/02/2021,25/02/2021
14,Royal Palms,"7 & 8, Forest Co-op Housing Society, School Katol Rd Seminary Hills, Nagpur, Maharashtra, 440013, India","19 km to city centre
9.0 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingPet-friendlyGym,"Rs6,000",,Nagpur,24/02/2021,25/02/2021
15,The Nagpur Ashok,"West High Court Road, Aath Rasta Square, Laxmi Nagar, Nagpur, Maharashtra, 440022, India","14 km to city centre
4.1 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingAirport transferRestaurantBarInternet accessMeeting Facilities,"Rs7,600",5.4,Nagpur,24/02/2021,25/02/2021
16,"Hotel Amrta,(Renovated)","Modi No. 3, Sitabuldi, Nagpur, Maharashtra, 440012, India","17 km to city centre
6.8 km to Nagpur (NAG-Dr. Ambedkar Intl.)",RestaurantInternet access,"Rs4,198",,Nagpur,24/02/2021,25/02/2021
17,Le Meridien Nagpur,"Wardha Road, Nagpur, Maharashtra, 441108, India","4.9 km to city centre
5.2 km to Nagpur (NAG-Dr. Ambedkar Intl.)",PoolAirport transferGymRestaurantBarBathtub,"Rs9,798",Good 7.8,Nagpur,24/02/2021,25/02/2021
18,Hotel Centre Point,"No. 24 Central Bazaar Road, Ramdaspeth, Nagpur, Maharashtra, 440016, India","15 km to city centre
5.6 km to Nagpur (NAG-Dr. Ambedkar Intl.)",PoolFree parkingAirport transferSpaGymRestaurant,"Rs9,178",Good 7.6,Nagpur,24/02/2021,25/02/2021
19,JK Rooms 132 Parkland Service Apartment,"Fortune Heights, Pioneer Residency Park, Near Airport, Wardha Road, Nagpur, Maharashtra, 440015, India","11 km to city centre
1.4 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parking,"Rs7,000",,Nagpur,24/02/2021,25/02/2021
20,Hotel President,"Modi Number 3, Sitabuldi, Nagpur, Maharashtra, 440012, India","17 km to city centre
6.8 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingAirport transferRestaurant,"Rs6,000",Good 7.4,Nagpur,24/02/2021,25/02/2021
21,Hotel President,"Modi Number 3, Sitabuldi, Nagpur, Maharashtra, 440012, India","17 km to city centre
6.8 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingAirport transferRestaurant,"Rs6,000",Good 7.4,Nagpur,24/02/2021,25/02/2021
22,JK Rooms 111 Hotel Shivala,"Near ST Bus Stand, Ganeshpeth Chowk, Saint Stand Road, Nagpur, Maharashtra, 440018, India","17 km to city centre
7.2 km to Nagpur (NAG-Dr. Ambedkar Intl.)",SpaRestaurant,"Rs7,000",,Nagpur,24/02/2021,25/02/2021
23,OYO 24078 Sai Guest House,"19 Chinchbhawan Bus Stop Wardha Road, Beside Shri Balaji Super Sophie, Nagpur, Maharashtra, 440022, India","7.7 km to city centre
2.5 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingBathtub,"Rs22,276",,Nagpur,24/02/2021,25/02/2021
24,JK Rooms 101 Hotel Asian Inn,"Nr Rly Station, Empress City Mall Rd, Beside Rajwada Palace, Ganjpeth, Nagpur, Maharashtra, 440018, India","18 km to city centre
8.3 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parking,"Rs8,000",,Nagpur,24/02/2021,25/02/2021
25,Sai Guest House,"Wardha Rd, Nagpur, MH, 440005, India","7.7 km to city centre
2.5 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingAirport transfer,"Rs3,200",,Nagpur,24/02/2021,25/02/2021
26,JK Rooms 108 Hotel Royal Regency,"Near MIDC Main Gate, Butibori, Bori, Nagpur, Maharashtra, 441122, India","9.0 km to city centre
19 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingRestaurantBarMeeting Facilities,"Rs3,300",,Nagpur,24/02/2021,25/02/2021
27,Regenta Central Hotel & Convention Nagpur,"#230, Gangabai Ghat Road, Jagnade Square, Nandanvan, Nagpur, Maharashtra, 440009, India","18 km to city centre
9.0 km to Nagpur (NAG-Dr. Ambedkar Intl.)",PoolFree parkingRestaurantBarConnecting rooms available,"Rs13,000",5.4,Nagpur,24/02/2021,25/02/2021
28,Mango Hotels Nagpur,"No. 25, Central Avenue Road, Opp Gitanjali Theatare, Nagpur, Maharashtra, 440018, India","18 km to city centre
8.4 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingRestaurant,"Rs4,608",Exceptional 10.0,Nagpur,24/02/2021,25/02/2021
29,The Majestic Manor,"10 KANNAMWAR NAGAR WARDHA ROAD, OPPOSITE SONEGAON POLICE STATION, Nagpur, MAHARASHTRA, 440025, India","10 km to city centre
1.3 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingAirport transferRestaurant,"Rs5,800",Very good 8.0,Nagpur,24/02/2021,25/02/2021
30,JK Rooms 144 Sai House,"Chichbhavan Bus Stop, Near Mihan, Wardha Road, Nagpur, Maharashtra, 441108, India","7.7 km to city centre
2.5 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingAirport transferRestaurant,"Rs4,900",,Nagpur,24/02/2021,25/02/2021
31,Treebo Trend Hotel A1,"Plot No. 23, Wardha Road, Bhagyada Society, Nagpur, Maharashtra, 440015, India","12 km to city centre
2.9 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingRestaurant,"Rs4,208",Very good 8.0,Nagpur,24/02/2021,25/02/2021
32,Treebo Trend Hotel A1,"Plot No. 23, Wardha Road, Bhagyada Society, Nagpur, Maharashtra, 440015, India","12 km to city centre
2.9 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingRestaurant,"Rs4,208",Very good 8.0,Nagpur,24/02/2021,25/02/2021
33,JK Rooms 126 Parashar Legacy - Station,"Opp. Rly. Station, Behind Vims Hospital, Tent Lines, Kingsway Road, Mohan Nagar, Nagpur, Maharashtra, 440001, India","18 km to city centre
8.2 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Pet-friendlyAirport transfer,"Rs4,212",,Nagpur,24/02/2021,25/02/2021
34,HOTEL CHANAKYA,"MODI NO.3, SITA BULDI, Nagpur, MAHARASHTRA, 440012, India","17 km to city centre
6.8 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parking,"Rs2,800",5,Nagpur,24/02/2021,25/02/2021
35,OYO 24924 Krishna Kunj,"16 Amar Sanjay Soc bhnd Jay Automobile, Nr Manish Nager Rly Crossing Somalwada, Nagpur, Maharashtra, 440015, India","11 km to city centre
2.2 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingBathtub,"Rs3,770",,Nagpur,24/02/2021,25/02/2021
36,The JK Hotel,"Opp. Railway Station LIC Sqr Behind Nexa, Kingsway Rd, Tent Line, Mohan Nagar, Nagpur, Maharashtra, 440001, India","18 km to city centre
8.2 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingAirport transferMeeting Facilities,"Rs5,400",,Nagpur,24/02/2021,25/02/2021
37,Treebo Trip Ivory House,"Plot. No. 19/20, Lahrikrupa Hsg Society, Behind Essar Petol Pump, Khamla, Nagpur, Maharashtra, 440025, India","12 km to city centre
1.9 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parking,"Rs3,697",,Nagpur,24/02/2021,25/02/2021
38,OYO 26499 Check Inn Service Apartment,"19 Sneh Nagar, Opposite Radisson Hotel Wardha Road, Nagpur, Maharashtra, 440015, India","12 km to city centre
2.5 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingBathtub,"Rs4,290",,Nagpur,24/02/2021,25/02/2021
39,OYO 18305 Trance Hospitality Services,"9 10 11 Rbi Colony Somalwada, Nagpur, Maharashtra, 440025, India","11 km to city centre
1.6 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Bathtub,"Rs3,621",,Nagpur,24/02/2021,25/02/2021
40,JK Rooms 137 Majestic Annexe,"Kannamwar Nagar, Near Airport, Wardha Road, Nagpur, Maharashtra, 440025, India","10 km to city centre
1.2 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Airport transferRestaurantMeeting Facilities,"Rs5,250",,Nagpur,24/02/2021,25/02/2021
41,OYO 29093 Hotel A3 & Restaurant,"82,83, Thakur Plot, Near Ek Minar Masjid, Bada Taj Bagh, Nagpur, Maharashtra, 440024, India","15 km to city centre
7.7 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingBathtub,"Rs2,586",,Nagpur,24/02/2021,25/02/2021
42,OYO 23706 Super Deluxe Guest House,"192, Central Avenue,Bhandara Road, Near Hotel Jagson, Hansapuri, Nagpur, Maharashtra, 440018, India","18 km to city centre
8.4 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingBathtub,"Rs3,135",,Nagpur,24/02/2021,25/02/2021
43,OYO 23706 Super Deluxe Guest House,"192, Central Avenue,Bhandara Road, Near Hotel Jagson, Hansapuri, Nagpur, Maharashtra, 440018, India","18 km to city centre
8.4 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parkingBathtub,"Rs3,135",,Nagpur,24/02/2021,25/02/2021
44,OYO 9023 Dwarka Inn,"10/Sambhaji, Sambhaji Nagar,Pathan Layout, Nagpur, 440022, India","13 km to city centre
2.9 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parking,"Rs3,312",,Nagpur,24/02/2021,25/02/2021
45,Elita Rooms,"Plot #1 Flat #401 4th Floor Atharva, Aishwarya, Opp.Vikas Ashram, Karve Nagar, Nagpur, Maharastra, 440025, India","11 km to city centre
1.5 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parking,"Rs4,498",,Nagpur,24/02/2021,25/02/2021
46,Elita Rooms,"Plot #1 Flat #401 4th Floor Atharva, Aishwarya, Opp.Vikas Ashram, Karve Nagar, Nagpur, Maharastra, 440025, India","11 km to city centre
1.5 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parking,"Rs4,498",,Nagpur,24/02/2021,25/02/2021
47,Elita Rooms,"Plot #1 Flat #401 4th Floor Atharva, Aishwarya, Opp.Vikas Ashram, Karve Nagar, Nagpur, Maharastra, 440025, India","11 km to city centre
1.5 km to Nagpur (NAG-Dr. Ambedkar Intl.)",Free parking,"Rs4,498",,Nagpur,24/02/2021,25/02/2021
48,Le Meridien Nagpur,"Wardha Road, Nagpur, Maharashtra, 441108, India","4.9 km to city centre
5.2 km to Nagpur (NAG-Dr. Ambedkar Intl.)",PoolAirport transferGymRestaurantBarBathtub,"Rs18,616",Good 7.8,Nagpur,24/02/2021,27/02/2021
