,name,address,location,amentities,price,rating,city,Check_in_date,Check_out_date
0,Dewdrop Hotel Grand Bhagwat,"behind guru nanak school, shastri circle, Udaipur, rajasthan, 313001, India","1.9 km to City Palace
20 km to Udaipur (UDR-Dabok)",PoolFree parkingAirport transferRestaurantBathtub,"Rs17,994",,Udaypur,24/02/2021,06/03/2021
1,Hopp Inn Meera,"6, Meera Marg, Sardarpura, Madhuban, Udaipur, Rajasthan, 313001, India","2.5 km to City Palace
20 km to Udaipur (UDR-Dabok)",Restaurant,"Rs15,000",,Udaypur,24/02/2021,06/03/2021
2,Hotel Siddhartha Inn,"Gulab Bagh Rd, Udaipur, RJ, 313001, India","1.4 km to City Palace
20 km to Udaipur (UDR-Dabok)",Free parkingAirport transfer,"Rs20,790",,Udaypur,24/02/2021,06/03/2021
3,Hotel Siddhartha Inn,"Gulab Bagh Rd, Udaipur, RJ, 313001, India","1.4 km to City Palace
20 km to Udaipur (UDR-Dabok)",Free parkingAirport transfer,"Rs20,790",,Udaypur,24/02/2021,06/03/2021
4,Shiv Niwas Palace by HRH Group of Hotels,"The City Palace Complex, Udaipur, Rajasthan, 313001, India","0.1 km to City Palace
22 km to Udaipur (UDR-Dabok)",PoolFree parkingAirport transferSpaRestaurantBar,"Rs122,400",Fabulous 8.6,Udaypur,24/02/2021,06/03/2021
5,Hotel Shambhu Villas,"Lake Palace Rd, Udaipur, RJ, 313001, India","0.7 km to City Palace
21 km to Udaipur (UDR-Dabok)",PoolFree parkingRestaurant,"Rs16,000",Exceptional 10.0,Udaypur,24/02/2021,06/03/2021
6,Hotel Shambhu Villas,"Lake Palace Rd, Udaipur, RJ, 313001, India","0.7 km to City Palace
21 km to Udaipur (UDR-Dabok)",PoolFree parkingRestaurant,"Rs16,000",Exceptional 10.0,Udaypur,24/02/2021,06/03/2021
7,Hotel Taldar Inn,"Taldar Building, Opposite Town Hall, Near Bank Of Baroda, Panchsheel marg, Udaipur, rajasthan, 313001, India","1.6 km to City Palace
20 km to Udaipur (UDR-Dabok)",Free parking,"Rs70,000",,Udaypur,24/02/2021,06/03/2021
8,Garden Hotel,"Lake Palace Road, Udaipur, Rajasthan, 313001, India","1.2 km to City Palace
21 km to Udaipur (UDR-Dabok)",Free parkingAirport transferRestaurantBarBathtubInternet access,"Rs27,450",Very good 8.0,Udaypur,24/02/2021,06/03/2021
9,Hotel Raj Palace,"103, Bhatiyani Chohatta, Udaipur, 313001, India","0.2 km to City Palace
21 km to Udaipur (UDR-Dabok)",PoolFree parkingAirport transferRestaurantBarBathtub,"Rs10,000",,Udaypur,24/02/2021,06/03/2021
10,Hotel Raj Palace,"103, Bhatiyani Chohatta, Udaipur, 313001, India","0.2 km to City Palace
21 km to Udaipur (UDR-Dabok)",PoolFree parkingAirport transferRestaurantBarBathtub,"Rs10,000",,Udaypur,24/02/2021,06/03/2021
11,Hotel Mewar Inn,"42 Residency Road, Near GBH American Hospital, Udaipur, Rajasthan, 313001, India","2.4 km to City Palace
20 km to Udaipur (UDR-Dabok)",Free parkingPet-friendlyAirport transferRestaurantInternet accessConnecting rooms available,"Rs9,990",,Udaypur,24/02/2021,06/03/2021
12,Hotel Boheda Palace,"Kalaji Goraji, Near lake palace road, Udaipur, Rajasthan, 313001, India","0.6 km to City Palace
21 km to Udaipur (UDR-Dabok)",Free parkingAirport transferRestaurantInternet access,"Rs19,650",Superb 9.0,Udaypur,24/02/2021,06/03/2021
13,Hotel Vinayakam,"Kalaji Goraji D Rd, Udaipur, RJ, 313001, India","0.6 km to City Palace
21 km to Udaipur (UDR-Dabok)",Free parkingAirport transfer,"Rs9,990",Very good 8.0,Udaypur,24/02/2021,06/03/2021
14,Narayans Leela Inn,"33, Jal Darshan Market, RMV School Road, Near Gulab Bagh Garden, Udaipur, Rajasthan, 313001, India","1.1 km to City Palace
21 km to Udaipur (UDR-Dabok)",Free parkingRestaurant,"Rs10,201",Very good 8.0,Udaypur,24/02/2021,06/03/2021
15,OYO 19032 Hotel Ambay Palace,"50Udaipole Rd Kamlabadi Inside Udiapole, Cntrl Bus Stn Jawahar Nagar Khanjipeer, Udaipur, Rajasthan, 313001, India","1.4 km to City Palace
20 km to Udaipur (UDR-Dabok)",Bathtub,"Rs11,654",,Udaypur,24/02/2021,06/03/2021
16,Uddhav Vilas,"Inside Udaipole, Kamlawadi, Udaipur, Rajasthan, 313001, India","1.4 km to City Palace
20 km to Udaipur (UDR-Dabok)",Free parkingRestaurant,"Rs36,000",Very good 8.4,Udaypur,24/02/2021,06/03/2021
17,Hotel North Star,"Near central bus stand sarvaritu villas, opp sagas ji temple udaipur 313001, Udaipur, Rajasthan, 313001, India","1.4 km to City Palace
20 km to Udaipur (UDR-Dabok)",Free parkingPet-friendlyRestaurant,"Rs15,200",,Udaypur,24/02/2021,06/03/2021
18,Hotel mukund villas,"16 near Hariyali restaurant, Gulab bagh road, Udaipur, RJ, 313001, India","1.1 km to City Palace
21 km to Udaipur (UDR-Dabok)",Free parkingPet-friendlyAirport transferRestaurantInternet access,"Rs17,263",Very good 8.0,Udaypur,24/02/2021,06/03/2021
19,Hotel Ashish Palace,"125 Chetak Marg, Chetak Circle, Udaipur, Rajasthan, 313001, India","1.7 km to City Palace
21 km to Udaipur (UDR-Dabok)",Free parkingRestaurant,"Rs14,443",4,Udaypur,24/02/2021,06/03/2021
